PG.Number,PG.PlayerFirstName,PG.PlayerLastName,PG.Ht,PG.Wt,PG.Yr,PG.Min.Pct,SG.Number,SG.PlayerFirstName,SG.PlayerLastName,SG.Ht,SG.Wt,SG.Yr,SG.Min.Pct,SF.Number,SF.PlayerFirstName,SF.PlayerLastName,SF.Ht,SF.Wt,SF.Yr,SF.Min.Pct,PF.Number,PF.PlayerFirstName,PF.PlayerLastName,PF.Ht,PF.Wt,PF.Yr,PF.Min.Pct,C.Number,C.PlayerFirstName,C.PlayerLastName,C.Ht,C.Wt,C.Yr,C.Min.Pct,Team,Year
NA,NA,NA,NA,NA,,NA,5,Brandon,Randolph,6-6,175, Fr,0.05,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,Arizona,2018
1,Remy,Martin,6-0,170, Fr,0.62,11,Shannon,Evans,6-1,172, Sr,0.85,44,Kodi,Justice,6-5,190, Sr,0.56,3,Mickey,Mitchell,6-7,225, So,0.48,23,Romello,White,6-8,235, Fr,0.53,Arizona St.,2018
0,Tra,Holder,6-1,180, Sr,0.36,0,Tra,Holder,6-1,180, Sr,0.12,0,Tra,Holder,6-1,180, Sr,0.37,14,Kimani,Lawrence,6-7,210, Fr,0.22,35,De,Quon,6-10,225, Jr,0.37,Arizona St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,14,Kimani,Lawrence,6-7,210, Fr,0.05,44,Kodi,Justice,6-5,190, Sr,0.2,10,Vitaliy,Shibel,6-9,210, Fr,0.07,Arizona St.,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,10,Vitaliy,Shibel,6-9,210, Fr,0.08,NA,NA,NA,NA,NA,,NA,Arizona St.,2018
4,Daryl,Macon,6-3,185, Sr,0.8,31,Anton,Beard,6-0,198, Sr,0.67,0,Jaylen,Barford,6-3,202, Sr,0.63,5,Arlando,Cook,6-8,215, Sr,0.31,10,Daniel,Gafford,6-11,217, Fr,0.53,Arkansas,2018
31,Anton,Beard,6-0,198, Sr,0.12,23,CJ,Jones,6-5,175, So,0.22,20,Darious,Hall,6-6,202, Fr,0.24,2,Adrio,Bailey,6-6,204, So,0.28,1,Trey,Thompson,6-9,265, Sr,0.45,Arkansas,2018
0,Jaylen,Barford,6-3,202, Sr,0.09,0,Jaylen,Barford,6-3,202, Sr,0.11,2,Adrio,Bailey,6-6,204, So,0.09,20,Darious,Hall,6-6,202, Fr,0.17,NA,NA,NA,NA,NA,,NA,Arkansas,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,23,CJ,Jones,6-5,175, So,0.05,13,Dustin,Thomas,6-8,225, Sr,0.1,NA,NA,NA,NA,NA,,NA,Arkansas,2018
NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,NA,10,Daniel,Gafford,6-11,217, Fr,0.08,NA,NA,NA,NA,NA,,NA,Arkansas,2018
