,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
0,300652752,s:40~l:41~e:300652752~c:300652752,2010-03-06T21:00Z,0,True,False,True,False,[],2010-03-06T21:00Z,0,N/A,1973,Cintas Center,Cincinnati,OH,10224.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,True,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,3,179,s:40~l:41~t:179,St. Bonaventure,Bonnies,SBU,St. Bonaventure Bonnies,St. Bonaventure,70261D,,True,2042,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,3,2010,,3,Atlantic 10 Conference,A 10,True,
0,300652619,s:40~l:41~e:300652619~c:300652619,2010-03-06T17:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""AMERICA EAST MEN'S CHAMPIONSHIP - QUARTERFINALS AT WEST HARTFORD CT""}]",2010-03-06T17:00Z,1,STD,1929,Chase Arena,West Hartford,CT,3507.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2619,s:40~l:41~t:2619,Stony Brook,Seawolves,STBK,Stony Brook Seawolves,Stony Brook,990000,,True,2231,https://a.espncdn.com/i/teamlogos/ncaa/500/2619.png,1,399,s:40~l:41~t:399,Albany,Great Danes,ALB,Albany Great Danes,Albany,3D2777,ffffff,True,1976,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,1,2010,,1,America East Conference,Am. East,True,1.0
0,300652390,s:40~l:41~e:300652390~c:300652390,2010-03-06T17:00Z,0,True,False,True,False,[],2010-03-06T17:00Z,0,N/A,1985,Watsco Center,Coral Gables,FL,7972.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2390,s:40~l:41~t:2390,Miami,Hurricanes,MIA,Miami Hurricanes,Miami,004325,f0f0f0,True,1985,https://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,2,52,s:40~l:41~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888,True,1952,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,2,2010,,2,Atlantic Coast Conference,ACC,True,
0,300650295,s:40~l:41~e:300650295~c:300650295,2010-03-06T17:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""CAA MEN'S CHAMPIONSHIP - QUARTERFINALS AT RICHMOND VA""}]",2010-03-06T17:00Z,12,RD64,45,Richmond Coliseum,Richmond,VA,12500.0,False,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,295,s:40~l:41~t:295,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,True,1940,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,10,119,s:40~l:41~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,,True,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,2010,,10,Colonial Athletic Association,CAA,True,12.0
0,300650084,s:40~l:41~e:300650084~c:300650084,2010-03-06T17:00Z,0,True,False,True,False,[],2010-03-06T17:00Z,0,N/A,2092,Simon Skjodt Assembly Hall,Bloomington,IN,17222.0,True,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,84,s:40~l:41~t:84,Indiana,Hoosiers,IU,Indiana Hoosiers,Indiana,7D110C,eeedeb,True,2092,https://a.espncdn.com/i/teamlogos/ncaa/500/84.png,7,77,s:40~l:41~t:77,Northwestern,Wildcats,NW,Northwestern Wildcats,Northwestern,372286,d6cac1,True,1990,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,7,2010,OT,7,Big Ten Conference,Big Ten,True,
0,300652545,s:40~l:41~e:300652545~c:300652545,2010-03-06T18:00Z,0,True,False,True,False,[],2010-03-06T18:00Z,0,N/A,2040,University Center (LA),Hammond,LA,7500.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2545,s:40~l:41~t:2545,SE Louisiana,Lions,SELA,SE Louisiana Lions,SE Louisiana,007550,dca008,True,2040,https://a.espncdn.com/i/teamlogos/ncaa/500/2545.png,25,2466,s:40~l:41~t:2466,Northwestern State,Demons,NWST,Northwestern State Demons,Northwestern St,492F91,ed6118,True,1939,https://a.espncdn.com/i/teamlogos/ncaa/500/2466.png,25,2010,,,,,,
0,300650235,s:40~l:41~e:300650235~c:300650235,2010-03-06T18:00Z,0,True,False,True,False,[],2010-03-06T18:00Z,0,N/A,1392,FedExForum,Memphis,TN,18400.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,002447,231f20,True,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,11,202,s:40~l:41~t:202,Tulsa,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,004371,ee3b33,True,2049,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,11,2010,,11,Conference USA,C-USA,True,
0,300660012,s:40~l:41~e:300660012~c:300660012,2010-03-06T18:30Z,0,True,False,True,False,[],2010-03-06T18:30Z,0,N/A,1064,McKale Center,Tucson,AZ,14644.0,True,0.0,0:00,4,3,STATUS_FINAL,post,True,Final,Final/2OT,Final/2OT,12,s:40~l:41~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,002449,00205b,True,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,30,s:40~l:41~t:30,USC,Trojans,USC,USC Trojans,USC,AE2531,ffc72c,True,1918,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,21,2010,2OT,21,Pac-12 Conference,Pac-12,True,
0,300650197,s:40~l:41~e:300650197~c:300650197,2010-03-06T18:30Z,0,True,False,True,False,[],2010-03-06T18:30Z,0,N/A,1992,Gallagher-Iba Arena,Stillwater,OK,13611.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,197,s:40~l:41~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma State,FF6500,ff9900,True,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,158,s:40~l:41~t:158,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,F20017,f5f1e7,True,4569,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,8,2010,,8,Big 12 Conference,Big 12,True,
0,300650333,s:40~l:41~e:300650333~c:300650333,2010-03-06T18:47Z,0,True,False,True,False,[],2010-03-06T18:47Z,0,N/A,1925,Coleman Coliseum,Tuscaloosa,AL,15383.0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,333,s:40~l:41~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,True,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,True,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,2010,,23,Southeastern Conference,SEC,True,
