"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","status.type.altDetail","season","groups.id","groups.name","groups.shortName","groups.isConference","tournamentId","game_id","PBP","team_box"
400841832,"s:40~l:41~e:400841832~c:400841832","2015-12-31T00:00Z",2741,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2203,"James A. Rhodes Arena","Akron","OH",5500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2006,"s:40~l:41~t:2006","Akron","Zips","AKR","Akron Zips","Akron","00285e","84754e","True",2203,"https://a.espncdn.com/i/teamlogos/ncaa/500/2006.png",14,2569,"s:40~l:41~t:2569","South Carolina State","Bulldogs","SCST","South Carolina State Bulldogs","SC State","7d1315","104897","True",2077,"https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png",16,"",2016,NA,"","","",NA,400841832,TRUE,TRUE
400841087,"s:40~l:41~e:400841087~c:400841087","2015-12-31T00:00Z",722,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",2188,"Cotterell Court","Hamilton","NY",1782,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2142,"s:40~l:41~t:2142","Colgate","Raiders","COLG","Colgate Raiders","Colgate","8B011D","231f20","True",2188,"https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png",22,322,"s:40~l:41~t:322","Lafayette","Leopards","LAF","Lafayette Leopards","Lafayette","790000","a59474","True",2132,"https://a.espncdn.com/i/teamlogos/ncaa/500/322.png",22,"",2016,22,"Patriot League","Patriot","True",NA,400841087,TRUE,TRUE
400840863,"s:40~l:41~e:400840863~c:400840863","2015-12-31T00:00Z",5267,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2135,"Convocation Center (OH)","Athens","OH",13000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",195,"s:40~l:41~t:195","Ohio","Bobcats","OHIO","Ohio Bobcats","Ohio","295A29","e4bb85","True",2135,"https://a.espncdn.com/i/teamlogos/ncaa/500/195.png",14,27,"s:40~l:41~t:27","UC Riverside","Highlanders","UCR","UC Riverside Highlanders","UC Riverside","14234F","","True",2082,"https://a.espncdn.com/i/teamlogos/ncaa/500/27.png",9,"",2016,NA,"","","",NA,400840863,TRUE,TRUE
400840284,"s:40~l:41~e:400840284~c:400840284","2015-12-31T00:00Z",13314,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",2099,"BMO Harris Bradley Center","Milwaukee","WI",18717,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",269,"s:40~l:41~t:269","Marquette","Golden Eagles","MARQ","Marquette Golden Eagles","Marquette","083963","ffffff","True",5777,"https://a.espncdn.com/i/teamlogos/ncaa/500/269.png",4,2550,"s:40~l:41~t:2550","Seton Hall","Pirates","HALL","Seton Hall Pirates","Seton Hall","0857B1","8a8d8f","True",1826,"https://a.espncdn.com/i/teamlogos/ncaa/500/2550.png",4,"",2016,4,"Big East Conference","Big East","True",NA,400840284,TRUE,TRUE
400840039,"s:40~l:41~e:400840039~c:400840039","2015-12-31T00:00Z",0,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2085,"Spiro Sports Center","Staten Island","NY",2100,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2681,"s:40~l:41~t:2681","Wagner","Seahawks","WAG","Wagner Seahawks","Wagner","00483A","ffffff","True",2085,"https://a.espncdn.com/i/teamlogos/ncaa/500/2681.png",19,2349,"s:40~l:41~t:2349","UMass Lowell","River Hawks","UML","UMass Lowell River Hawks","UMass Lowell","00529C","cf1f2f","True",4485,"https://a.espncdn.com/i/teamlogos/ncaa/500/2349.png",1,"",2016,NA,"","","",NA,400840039,TRUE,TRUE
400839350,"s:40~l:41~e:400839350~c:400839350","2015-12-31T00:00Z",13701,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",317,"Value City Arena","Columbus","OH",19500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",194,"s:40~l:41~t:194","Ohio State","Buckeyes","OSU","Ohio State Buckeyes","Ohio State","de3129","666666","True",317,"https://a.espncdn.com/i/teamlogos/ncaa/500/194.png",7,135,"s:40~l:41~t:135","Minnesota","Golden Gophers","MINN","Minnesota Golden Gophers","Minnesota","981a31","981a31","True",2094,"https://a.espncdn.com/i/teamlogos/ncaa/500/135.png",7,"",2016,7,"Big Ten Conference","Big Ten","True",NA,400839350,TRUE,TRUE
400827740,"s:40~l:41~e:400827740~c:400827740","2015-12-31T00:00Z",7637,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2051,"Stuart C. Siegel Center","Richmond","VA",7637,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2670,"s:40~l:41~t:2670","VCU","Rams","VCU","VCU Rams","VCU","929292","edb71d","True",2051,"https://a.espncdn.com/i/teamlogos/ncaa/500/2670.png",3,2454,"s:40~l:41~t:2454","North Florida","Ospreys","UNF","North Florida Ospreys","North Florida","004B8D","babcbe","True",2123,"https://a.espncdn.com/i/teamlogos/ncaa/500/2454.png",46,"",2016,NA,"","","",NA,400827740,TRUE,TRUE
400827705,"s:40~l:41~e:400827705~c:400827705","2015-12-31T00:00Z",632,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2149,"DeGol Arena","Loretto","PA",3500,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2598,"s:40~l:41~t:2598","St. Francis (PA)","Red Flash","SFPA","St. Francis (PA) Red Flash","St. Fran. (PA)","a20012","","True",2149,"https://a.espncdn.com/i/teamlogos/ncaa/500/2598.png",19,2885,"s:40~l:41~t:2885","NJIT","Highlanders","NJIT","NJIT Highlanders","NJIT","EE3024","df3e2e","True",5420,"https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png",46,"",2016,NA,"","","",NA,400827705,TRUE,TRUE
400827478,"s:40~l:41~e:400827478~c:400827478","2015-12-31T00:00Z",1520,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",1944,"Alumni Gymnasium (Rider)","Lawrenceville","NJ",1650,"True",0,"0:00",4,3,"STATUS_FINAL","post","True","Final","Final/2OT","Final/2OT",2520,"s:40~l:41~t:2520","Rider","Broncs","RID","Rider Broncs","Rider","a80532","ebebeb","True",1944,"https://a.espncdn.com/i/teamlogos/ncaa/500/2520.png",13,42,"s:40~l:41~t:42","Hartford","Hawks","HART","Hartford Hawks","Hartford","d60008","000000","True",1929,"https://a.espncdn.com/i/teamlogos/ncaa/500/42.png",1,"2OT",2016,NA,"","","",NA,400827478,TRUE,TRUE
400825512,"s:40~l:41~e:400825512~c:400825512","2015-12-31T00:00Z",2914,"True","False","True","False","[]","2015-12-31T00:00Z",0,"N/A",2208,"Sojka Pavilion","Lewisburg","PA",4000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2083,"s:40~l:41~t:2083","Bucknell","Bison","BUCK","Bucknell Bison","Bucknell","000060","00316e","True",2208,"https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png",22,2426,"s:40~l:41~t:2426","Navy","Midshipmen","NAVY","Navy Midshipmen","Navy","131630","b6a77c","True",2176,"https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png",22,"",2016,22,"Patriot League","Patriot","True",NA,400825512,TRUE,TRUE
400818723,"s:40~l:41~e:400818723~c:400818723","2015-12-31T00:00Z",0,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2144,"William H. Detrick Gymnasium","New Britain","CT",2654,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2115,"s:40~l:41~t:2115","Central Connecticut","Blue Devils","CCSU","Central Connecticut Blue Devils","Cent Conn St","1B49A2","d1d5d8","True",2144,"https://a.espncdn.com/i/teamlogos/ncaa/500/2115.png",19,43,"s:40~l:41~t:43","Yale","Bulldogs","YALE","Yale Bulldogs","Yale","004a81","286dc0","True",1923,"https://a.espncdn.com/i/teamlogos/ncaa/500/43.png",12,"",2016,NA,"","","",NA,400818723,TRUE,TRUE
400817371,"s:40~l:41~e:400817371~c:400817371","2015-12-31T00:00Z",2516,"True","False","False","False","[]","2015-12-31T00:00Z",0,"N/A",2036,"Pizzitola Sports Center","Providence","RI",2900,"True",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",225,"s:40~l:41~t:225","Brown","Bears","BRWN","Brown Bears","Brown","411e09","949300","True",2036,"https://a.espncdn.com/i/teamlogos/ncaa/500/225.png",12,227,"s:40~l:41~t:227","Rhode Island","Rams","URI","Rhode Island Rams","Rhode Island","091f3f","5ab3e8","True",2179,"https://a.espncdn.com/i/teamlogos/ncaa/500/227.png",3,"OT",2016,NA,"","","",NA,400817371,TRUE,TRUE
