,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,status.type.altDetail,season,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
0,401020080,s:40~l:41~e:401020080~c:401020080,2018-03-09T23:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""ATLANTIC 10 MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-09T23:00Z,1,STD,1823,Capital One Arena,Washington,DC,20600,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,179,s:40~l:41~t:179,St. Bonaventure,Bonnies,SBU,St. Bonaventure Bonnies,St. Bonaventure,70261D,,True,2042,https://a.espncdn.com/i/teamlogos/ncaa/500/179.png,3,257,s:40~l:41~t:257,Richmond,Spiders,RICH,Richmond Spiders,Richmond,9e0712,b90b2e,True,4486,https://a.espncdn.com/i/teamlogos/ncaa/500/257.png,3,,2018,3,Atlantic 10 Conference,A 10,True,2.0
0,401020527,s:40~l:41~e:401020527~c:401020527,2018-03-09T23:30Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""MAC MEN'S TOURNAMENT PRES. BY VISITMYRTLEBEACH.COM - SEMIFINAL""}]",2018-03-09T23:30Z,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2084,s:40~l:41~t:2084,Buffalo,Bulls,BUFF,Buffalo Bulls,Buffalo,041A9B,ebebeb,True,2107,https://a.espncdn.com/i/teamlogos/ncaa/500/2084.png,14,2309,s:40~l:41~t:2309,Kent State,Golden Flashes,KENT,Kent State Golden Flashes,Kent State,002445,f0b510,True,2020,https://a.espncdn.com/i/teamlogos/ncaa/500/2309.png,14,,2018,14,Mid-American Conference,MAC,True,17.0
0,401020555,s:40~l:41~e:401020555~c:401020555,2018-03-10T01:30Z,9002,True,True,True,False,"[{'type': 'event', 'headline': ""MEAC MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-10T01:30Z,18,EXH,26,Norfolk Scope Arena,Norfolk,VA,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2428,s:40~l:41~t:2428,North Carolina Central,Eagles,NCCU,North Carolina Central Eagles,NC Central,880023,c2c3c0,True,2081,https://a.espncdn.com/i/teamlogos/ncaa/500/2428.png,16,2415,s:40~l:41~t:2415,Morgan St,Bears,MORG,Morgan St Bears,Morgan State,014786,f47937,True,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,,2018,16,Mid-Eastern Athletic Conference,MEAC,True,18.0
0,401020164,s:40~l:41~e:401020164~c:401020164,2018-03-10T01:30Z,2545,True,True,True,False,"[{'type': 'event', 'headline': ""SOUTHLAND MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-10T01:30Z,,,3479,Leonard E. Merrell Center,Katy,TX,5794,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2447,s:40~l:41~t:2447,Nicholls,Colonels,NICH,Nicholls Colonels,Nicholls,C41230,f0f0f0,True,2067,https://a.espncdn.com/i/teamlogos/ncaa/500/2447.png,25,2617,s:40~l:41~t:2617,Stephen F. Austin,Lumberjacks,SFA,Stephen F. Austin Lumberjacks,SF Austin,393996,bec0c2,True,2079,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,25,,2018,25,Southland Conference,Southland,True,29.0
0,401020128,s:40~l:41~e:401020128~c:401020128,2018-03-10T01:30Z,1462,True,True,True,False,"[{'type': 'event', 'headline': ""SUN BELT CONFERENCE MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-10T01:30Z,,,1926,Lakefront Arena,New Orleans,LA,8785,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,290,s:40~l:41~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,GA Southern,003775,f0f0f0,True,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,27,2433,s:40~l:41~t:2433,UL Monroe,Warhawks,ULM,UL Monroe Warhawks,UL Monroe,231F20,b18445,True,2061,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,27,,2018,27,Sun Belt Conference,Sun Belt,True,32.0
0,401020081,s:40~l:41~e:401020081~c:401020081,2018-03-10T01:30Z,7664,True,True,True,False,"[{'type': 'event', 'headline': ""ATLANTIC 10 MEN'S CHAMPIONSHIP - QUARTERFINAL""}]",2018-03-10T01:30Z,1,STD,1823,Capital One Arena,Washington,DC,20600,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2166,s:40~l:41~t:2166,Davidson,Wildcats,DAV,Davidson Wildcats,Davidson,000000,e51837,True,194,https://a.espncdn.com/i/teamlogos/ncaa/500/2166.png,3,139,s:40~l:41~t:139,Saint Louis,Billikens,SLU,Saint Louis Billikens,Saint Louis,00539C,ebebeb,True,1947,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,3,,2018,3,Atlantic 10 Conference,A 10,True,2.0
0,401020732,s:40~l:41~e:401020732~c:401020732,2018-03-10T01:35Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""BIG SKY MEN'S CHAMPIONSHIP - SEMIFINAL""}]",2018-03-10T01:35Z,,,3437,Reno Events Center,Reno,NV,0,True,0.0,0:00,3,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,149,s:40~l:41~t:149,Montana,Grizzlies,MONT,Montana Grizzlies,Montana,751D4A,666666,True,1995,https://a.espncdn.com/i/teamlogos/ncaa/500/149.png,5,2458,s:40~l:41~t:2458,Northern Colorado,Bears,UNCO,Northern Colorado Bears,N Colorado,13558D,ffc533,True,2168,https://a.espncdn.com/i/teamlogos/ncaa/500/2458.png,5,OT,2018,5,Big Sky Conference,Big Sky,True,7.0
0,401020541,s:40~l:41~e:401020541~c:401020541,2018-03-10T02:00Z,0,True,True,True,False,"[{'type': 'event', 'headline': ""WAC MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-10T02:00Z,,,1246,Orleans Arena,Las Vegas,NV,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,3084,s:40~l:41~t:3084,Utah Valley,Wolverines,UVU,Utah Valley Wolverines,Utah Valley,004812,e1c736,True,2091,https://a.espncdn.com/i/teamlogos/ncaa/500/3084.png,30,2253,s:40~l:41~t:2253,Grand Canyon,Antelopes,GCU,Grand Canyon Antelopes,Grand Canyon,522398,f0f0f0,True,4534,https://a.espncdn.com/i/teamlogos/ncaa/500/2253.png,30,,2018,30,Western Athletic Conference,WAC,True,34.0
0,401020528,s:40~l:41~e:401020528~c:401020528,2018-03-10T02:00Z,4625,True,True,True,False,"[{'type': 'event', 'headline': ""MAC MEN'S TOURNAMENT PRES. BY VISITMYRTLEBEACH.COM - SEMIFINAL""}]",2018-03-10T02:00Z,17,FINAL,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2649,s:40~l:41~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,ffffff,ffd51d,True,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,14,2199,s:40~l:41~t:2199,Eastern Michigan,Eagles,EMU,Eastern Michigan Eagles,E Michigan,00331b,f0f0f0,True,2109,https://a.espncdn.com/i/teamlogos/ncaa/500/2199.png,14,,2018,14,Mid-American Conference,MAC,True,17.0
0,401022990,s:40~l:41~e:401022990~c:401022990,2018-03-10T02:30Z,2500,True,True,True,False,"[{'type': 'event', 'headline': ""SWAC MEN'S TOURNAMENT - SEMIFINAL""}]",2018-03-10T02:30Z,,,5454,DELMAR FIELDHOUSE,Houston,TX,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2504,s:40~l:41~t:2504,Prairie View A&M,Panthers,PV,Prairie View A&M Panthers,Prairie View,4d0960,,True,2027,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,26,2640,s:40~l:41~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,ebebeb,True,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,,2018,26,Southwestern Athletic Conference,SWAC,True,30.0
