"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.venue.id","home.logo","home.conferenceId","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.venue.id","away.logo","away.conferenceId","season","status.type.altDetail","groups.id","groups.name","groups.shortName","groups.isConference","game_id","PBP"
233570038,"s:40~l:41~e:233570038~c:233570038","2003-12-24T01:00Z",5415,"True","False","False","False","[]","2003-12-24T01:00Z",0,"N/A",2207,"CU Events Center","Boulder","CO",11064,"True",40,"0:40",2,3,"STATUS_FINAL","post","True","Final","Final","Final",38,"s:40~l:41~t:38","Colorado","Buffaloes","COLO","Colorado Buffaloes","Colorado","d1c57e","ffd200","True",2207,"https://a.espncdn.com/i/teamlogos/ncaa/500/38.png",8,254,"s:40~l:41~t:254","Utah","Utes","UTAH","Utah Utes","Utah","890012","7e8083","True",2196,"https://a.espncdn.com/i/teamlogos/ncaa/500/254.png",44,2004,"",NA,"","","",233570038,TRUE
233570097,"s:40~l:41~e:233570097~c:233570097","2003-12-24T00:30Z",18174,"True","False","False","False","[]","2003-12-24T00:30Z",0,"N/A",NA,"","","",NA,"",5,"0:05",2,3,"STATUS_FINAL","post","True","Final","Final","Final",97,"s:40~l:41~t:97","Louisville","Cardinals","LOU","Louisville Cardinals","Louisville","ad000a","cccccc","True",2030,"https://a.espncdn.com/i/teamlogos/ncaa/500/97.png",11,2678,"s:40~l:41~t:2678","VMI","Keydets","VMI","VMI Keydets","VMI","E52D37","eec52b","True",1970,"https://a.espncdn.com/i/teamlogos/ncaa/500/2678.png",24,2004,"",NA,"","","",233570097,TRUE
233570314,"s:40~l:41~e:233570314~c:233570314","2003-12-24T00:30Z",1979,"True","False","False","False","[]","2003-12-24T00:30Z",0,"N/A",2001,"Hynes Athletics Center","New Rochelle","NY",2578,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",314,"s:40~l:41~t:314","Iona","Gaels","IONA","Iona Gaels","Iona","8c001a","f6a704","True",2001,"https://a.espncdn.com/i/teamlogos/ncaa/500/314.png",13,2230,"s:40~l:41~t:2230","Fordham","Rams","FOR","Fordham Rams","Fordham","830032","909090","True",2007,"https://a.espncdn.com/i/teamlogos/ncaa/500/2230.png",3,2004,"",NA,"","","",233570314,TRUE
233570257,"s:40~l:41~e:233570257~c:233570257","2003-12-24T00:30Z",6043,"True","False","False","False","[]","2003-12-24T00:30Z",0,"N/A",2068,"Robins Stadium","Richmond","VA",9171,"False",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",257,"s:40~l:41~t:257","Richmond","Spiders","RICH","Richmond Spiders","Richmond","9e0712","b90b2e","True",4486,"https://a.espncdn.com/i/teamlogos/ncaa/500/257.png",3,2507,"s:40~l:41~t:2507","Providence","Friars","PROV","Providence Friars","Providence","000000","7d8082","True",4691,"https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png",4,2004,"",NA,"","","",233570257,TRUE
233570227,"s:40~l:41~e:233570227~c:233570227","2003-12-24T00:30Z",5684,"True","False","False","False","[]","2003-12-24T00:30Z",0,"N/A",2179,"Ryan Center","Kingston","RI",8000,"True",0,"0:00",3,3,"STATUS_FINAL","post","True","Final","Final/OT","Final/OT",227,"s:40~l:41~t:227","Rhode Island","Rams","URI","Rhode Island Rams","Rhode Island","091f3f","5ab3e8","True",2179,"https://a.espncdn.com/i/teamlogos/ncaa/500/227.png",3,2429,"s:40~l:41~t:2429","Charlotte","49ers","CHAR","Charlotte 49ers","Charlotte","ffffff","cfab7a","True",239,"https://a.espncdn.com/i/teamlogos/ncaa/500/2429.png",11,2004,"OT",NA,"","","",233570227,TRUE
233570087,"s:40~l:41~e:233570087~c:233570087","2003-12-24T00:30Z",8690,"True","False","False","False","[]","2003-12-24T00:30Z",0,"N/A",282,"Purcell Pavilion","South Bend","IN",9149,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",87,"s:40~l:41~t:87","Notre Dame","Fighting Irish","ND","Notre Dame Fighting Irish","Notre Dame","00122b","ae9142","True",282,"https://a.espncdn.com/i/teamlogos/ncaa/500/87.png",4,2514,"s:40~l:41~t:2514","Quinnipiac","Bobcats","QUIN","Quinnipiac Bobcats","Quinnipiac","041B43","","True",1907,"https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png",19,2004,"",NA,"","","",233570087,TRUE
233570048,"s:40~l:41~e:233570048~c:233570048","2003-12-24T00:30Z",4164,"True","False","False","False","[]","2003-12-24T00:30Z",0,"N/A",2189,"Bob Carpenter Center","Newark","DE",5000,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",48,"s:40~l:41~t:48","Delaware","Blue Hens","DEL","Delaware Blue Hens","Delaware","033594","e8ce31","True",2189,"https://a.espncdn.com/i/teamlogos/ncaa/500/48.png",10,2561,"s:40~l:41~t:2561","Siena","Saints","SIE","Siena Saints","Siena","037961","eea60f","True",20,"https://a.espncdn.com/i/teamlogos/ncaa/500/2561.png",13,2004,"",NA,"","","",233570048,TRUE
233572597,"s:40~l:41~e:233572597~c:233572597","2003-12-24T00:00Z",341,"True","False","True","False","[]","2003-12-24T00:00Z",0,"N/A",2060,"Peter Aquilone Court","Brooklyn","NY",1250,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2597,"s:40~l:41~t:2597","St. Francis (BKN)","Terriers","SFBK","St. Francis (BKN) Terriers","St. Fran. (BKN)","113682","","True",4941,"https://a.espncdn.com/i/teamlogos/ncaa/500/2597.png",19,116,"s:40~l:41~t:116","Mount St. Mary's","Mountaineers","MSM","Mount St. Mary's Mountaineers","Mt. St. Mary's","005596","ebebeb","True",2175,"https://a.espncdn.com/i/teamlogos/ncaa/500/116.png",19,2004,"",19,"Northeast Conference","NEC","True",233572597,TRUE
233572275,"s:40~l:41~e:233572275~c:233572275","2003-12-24T00:00Z",1947,"True","False","False","False","[]","2003-12-24T00:00Z",0,"N/A",2058,"David S. Mack Sports and Exhibition Complex","Hempstead","NY",5023,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2275,"s:40~l:41~t:2275","Hofstra","Pride","HOF","Hofstra Pride","Hofstra","00337c","f6c934","True",2058,"https://a.espncdn.com/i/teamlogos/ncaa/500/2275.png",10,2612,"s:40~l:41~t:2612","Saint Peter's","Peacocks","SPU","Saint Peter's Peacocks","Saint Peter's","004CC2","","True",1963,"https://a.espncdn.com/i/teamlogos/ncaa/500/2612.png",13,2004,"",NA,"","","",233572275,TRUE
233572244,"s:40~l:41~e:233572244~c:233572244","2003-12-24T00:00Z",3010,"True","False","False","False","[]","2003-12-24T00:00Z",0,"N/A",2167,"EagleBank Arena","Fairfax","VA",7860,"True",0,"0:00",2,3,"STATUS_FINAL","post","True","Final","Final","Final",2244,"s:40~l:41~t:2244","George Mason","Patriots","GMU","George Mason Patriots","George Mason","016600","ecb010","True",2167,"https://a.espncdn.com/i/teamlogos/ncaa/500/2244.png",10,179,"s:40~l:41~t:179","St. Bonaventure","Bonnies","SBU","St. Bonaventure Bonnies","St. Bonaventure","70261D","","True",2042,"https://a.espncdn.com/i/teamlogos/ncaa/500/179.png",3,2004,"",NA,"","","",233572244,TRUE
