TEMP_PLAYER_ID,PLAYER_ID,FIRST_NAME,LAST_NAME,PLAYER_NAME,POSITION,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,LANE_AGILITY_TIME,MODIFIED_LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,BENCH_PRESS
1631207,1631207,Dalen,Terry,Dalen Terry,SG,NA,NA,NA,NA,NA,NA
1631166,1631166,Drew,Timme,Drew Timme,C,25.5,31.5,11.71,3.31,3.38,NA
1631133,1631133,Jabari,Walker,Jabari Walker,PF,29.5,32.5,11.53,3.12,3.24,NA
1631102,1631102,TyTy,Washington Jr.,TyTy Washington Jr.,SG,NA,NA,NA,NA,NA,NA
1631212,1631212,Peyton,Watson,Peyton Watson,SF,28,33.5,11.03,3.24,3.28,NA
1631104,1631104,Blake,Wesley,Blake Wesley,SG,30,36,11.55,3.25,3.21,NA
1631214,1631214,Alondes,Williams,Alondes Williams,SG,30,35.5,10.96,3.11,3.15,NA
1631114,1631114,Jalen,Williams,Jalen Williams,SG,33.5,39,11.13,3.17,3.11,NA
1631119,1631119,Jaylin,Williams,Jaylin Williams,C,24.5,30,11.64,3.1,3.5,NA
1630652,1630652,Trevion,Williams,Trevion Williams,C,27.5,30,12.75,3.46,3.48,NA
1631258,1631258,Bryson,Williams,Bryson Williams,PF-C,NA,NA,NA,NA,NA,NA
1631109,1631109,Mark,Williams,Mark Williams,C,NA,NA,NA,NA,NA,NA
1630592,1630592,Jalen,Wilson,Jalen Wilson,SF-PF,NA,NA,NA,NA,NA,NA
1630855,1630855,Fanbo,Zeng,Fanbo Zeng,SF-PF,NA,NA,NA,NA,NA,NA
