"id","uid","date","attendance","timeValid","neutralSite","conferenceCompetition","recent","notes","startDate","type.id","type.abbreviation","status.clock","status.displayClock","status.period","status.type.id","status.type.name","status.type.state","status.type.completed","status.type.description","status.type.detail","status.type.shortDetail","home.id","home.uid","home.location","home.name","home.abbreviation","home.displayName","home.shortDisplayName","home.color","home.alternateColor","home.isActive","home.logo","away.id","away.uid","away.location","away.name","away.abbreviation","away.displayName","away.shortDisplayName","away.color","away.alternateColor","away.isActive","away.logo","venue.id","venue.fullName","venue.address.city","venue.address.state","venue.capacity","venue.indoor","series.type","series.title","series.summary","series.completed","series.totalCompetitions","series.competitors","season","status.type.altDetail","game_id","PBP","team_box","player_box"
211229012,"s:40~l:46~e:211229012~c:211229012","2001-12-29T17:30Z",18964,"True","False","False","False","[]","2001-12-29T17:30Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",12,"s:40~l:46~t:12","LA","Clippers","LAC","LA Clippers","Clippers","FA0028","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","",NA,"",2002,"",211229012,TRUE,TRUE,TRUE
211228003,"s:40~l:46~e:211228003~c:211228003","2001-12-29T00:30Z",10888,"True","False","False","False","[]","2001-12-29T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",3,"s:40~l:46~t:3","Charlotte","Hornets","CHA","Charlotte Hornets","Hornets","0093B1","b4975a","False","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png",15,"s:40~l:46~t:15","Milwaukee","Bucks","MIL","Milwaukee Bucks","Bucks","003813","f0ebd2","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png",4043,"Charlotte Coliseum                      ","Charlotte","NC",23799,"False","","","","",NA,"",2002,"",211228003,TRUE,TRUE,TRUE
211228005,"s:40~l:46~e:211228005~c:211228005","2001-12-29T00:30Z",14283,"True","False","False","False","[]","2001-12-29T00:30Z",1,"STD",40,"40.0",1,3,"STATUS_FINAL","post","True","Final","Final","Final",5,"s:40~l:46~t:5","Cleveland","Cavaliers","CLE","Cleveland Cavaliers","Cavaliers","061642","fdbb30","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png",18,"s:40~l:46~t:18","New York","Knicks","NY","New York Knicks","Knicks","225EA8","f58426","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png",3417,"Rocket Mortgage FieldHouse","Cleveland","OH",19432,"False","","","","",NA,"",2002,"",211228005,TRUE,TRUE,TRUE
211228009,"s:40~l:46~e:211228009~c:211228009","2001-12-29T00:30Z",14007,"True","False","False","False","[]","2001-12-29T00:30Z",1,"STD",474,"7:54",4,3,"STATUS_FINAL","post","True","Final","Final","Final",9,"s:40~l:46~t:9","Golden State","Warriors","GS","Golden State Warriors","Warriors","00275D","fdb927","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png",10,"s:40~l:46~t:10","Houston","Rockets","HOU","Houston Rockets","Rockets","D40026","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png",2465,"ORACLE Arena","Oakland","CA",19596,"False","","","","",NA,"",2002,"",211228009,TRUE,TRUE,TRUE
211228013,"s:40~l:46~e:211228013~c:211228013","2001-12-29T00:30Z",18997,"True","False","False","False","[]","2001-12-29T00:30Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",13,"s:40~l:46~t:13","Los Angeles","Lakers","LAL","Los Angeles Lakers","Lakers","542582","552582","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png",28,"s:40~l:46~t:28","Toronto","Raptors","TOR","Toronto Raptors","Raptors","CE0F41","061922","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png",1841,"STAPLES Center","Los Angeles","CA",19068,"True","","","","",NA,"",2002,"",211228013,TRUE,TRUE,TRUE
211228014,"s:40~l:46~e:211228014~c:211228014","2001-12-29T00:30Z",15558,"True","False","False","False","[]","2001-12-29T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",14,"s:40~l:46~t:14","Miami","Heat","MIA","Miami Heat","Heat","000000","000000","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png",29,"s:40~l:46~t:29","Memphis","Grizzlies","MEM","Memphis Grizzlies","Grizzlies","5D76A8","7399c6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png",3438,"AmericanAirlines Arena","Miami","FL",19600,"True","","","","",NA,"",2002,"",211228014,TRUE,TRUE,TRUE
211228019,"s:40~l:46~e:211228019~c:211228019","2001-12-29T00:30Z",15146,"True","False","False","False","[]","2001-12-29T00:30Z",1,"STD",0,"0.0",1,3,"STATUS_FINAL","post","True","Final","Final","Final",19,"s:40~l:46~t:19","Orlando","Magic","ORL","Orlando Magic","Magic","0860A8","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",4042,"Amway Arena","Orlando","FL",17461,"False","","","","",NA,"",2002,"",211228019,TRUE,TRUE,TRUE
211228007,"s:40~l:46~e:211228007~c:211228007","2001-12-29T00:00Z",18482,"True","False","False","False","[]","2001-12-29T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",7,"s:40~l:46~t:7","Denver","Nuggets","DEN","Denver Nuggets","Nuggets","0860A8","fdb927","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png",20,"s:40~l:46~t:20","Philadelphia","76ers","PHI","Philadelphia 76ers","76ers","000000","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png",892,"Ball Arena","Denver","CO",19520,"True","","","","",NA,"",2002,"",211228007,TRUE,TRUE,TRUE
211228023,"s:40~l:46~e:211228023~c:211228023","2001-12-29T00:00Z",17317,"True","False","False","False","[]","2001-12-29T00:00Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",23,"s:40~l:46~t:23","Sacramento","Kings","SAC","Sacramento Kings","Kings","393996","8e9090","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png",16,"s:40~l:46~t:16","Minnesota","Timberwolves","MIN","Minnesota Timberwolves","Timberwolves","0E3764","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png",2247,"Sleep Train Arena","Sacramento","CA",17317,"False","","","","",NA,"",2002,"",211228023,TRUE,TRUE,TRUE
211227001,"s:40~l:46~e:211227001~c:211227001","2001-12-28T00:30Z",13240,"True","False","False","False","[]","2001-12-28T00:30Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",1,"s:40~l:46~t:1","Atlanta","Hawks","ATL","Atlanta Hawks","Hawks","002B5C","002b5c","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png",14,"s:40~l:46~t:14","Miami","Heat","MIA","Miami Heat","Heat","000000","000000","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png",1827,"State Farm Arena","Atlanta","GA",16888,"True","","","","",NA,"",2002,"",211227001,TRUE,TRUE,TRUE
211227006,"s:40~l:46~e:211227006~c:211227006","2001-12-28T00:30Z",20018,"True","False","False","False","[]","2001-12-28T00:30Z",1,"STD",1,"1.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",6,"s:40~l:46~t:6","Dallas","Mavericks","DAL","Dallas Mavericks","Mavericks","0C479D","c4ced3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png",4,"s:40~l:46~t:4","Chicago","Bulls","CHI","Chicago Bulls","Bulls","000000","000000","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png",516,"American Airlines Center","Dallas","TX",19200,"False","","","","",NA,"",2002,"",211227006,TRUE,TRUE,TRUE
211227008,"s:40~l:46~e:211227008~c:211227008","2001-12-28T00:30Z",22076,"True","False","False","False","[]","2001-12-28T00:30Z",1,"STD",0,"0.0",2,3,"STATUS_FINAL","post","True","Final","Final","Final",8,"s:40~l:46~t:8","Detroit","Pistons","DET","Detroit Pistons","Pistons","FA002C","006bb6","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png",17,"s:40~l:46~t:17","New Jersey","Nets","NJ","New Jersey Nets","Nets","06143F","ffffff","False","",3419,"The Palace of Auburn Hills","Detroit","MI",22076,"False","","","","",NA,"",2002,"",211227008,TRUE,TRUE,TRUE
211227025,"s:40~l:46~e:211227025~c:211227025","2001-12-28T00:30Z",14129,"True","False","False","False","[]","2001-12-28T00:30Z",1,"STD",0,"0.0",1,3,"STATUS_FINAL","post","True","Final","Final","Final",25,"s:40~l:46~t:25","Seattle","SuperSonics","SEA","Seattle SuperSonics","SuperSonics","1C3F2C","f05133","False","",12,"s:40~l:46~t:12","LA","Clippers","LAC","LA Clippers","Clippers","FA0028","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png",2184,"KeyArena","Seattle","WA",17459,"True","","","","",NA,"",2002,"",211227025,TRUE,TRUE,TRUE
211227011,"s:40~l:46~e:211227011~c:211227011","2001-12-28T00:00Z",18345,"True","False","False","False","[]","2001-12-28T00:00Z",1,"STD",0,"0.0",4,3,"STATUS_FINAL","post","True","Final","Final","Final",11,"s:40~l:46~t:11","Indiana","Pacers","IND","Indiana Pacers","Pacers","061642","00275d","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png",27,"s:40~l:46~t:27","Washington","Wizards","WSH","Washington Wizards","Wizards","0E3764","e31837","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png",2183,"Bankers Life Fieldhouse","Indianapolis","IN",17923,"True","","","","",NA,"",2002,"",211227011,TRUE,TRUE,TRUE
211227021,"s:40~l:46~e:211227021~c:211227021","2001-12-28T00:00Z",19023,"True","False","False","False","[]","2001-12-28T00:00Z",1,"STD",2,"2.0",1,3,"STATUS_FINAL","post","True","Final","Final","Final",21,"s:40~l:46~t:21","Phoenix","Suns","PHX","Phoenix Suns","Suns","23006A","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png",2,"s:40~l:46~t:2","Boston","Celtics","BOS","Boston Celtics","Celtics","006532","f1f2f3","True","https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png",1949,"Phoenix Suns Arena","Phoenix","AZ",18055,"True","","","","",NA,"",2002,"",211227021,TRUE,TRUE,TRUE
