,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.logo,season,home.logo,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,status.type.altDetail
0,221009029,s:40~l:46~e:221009029~c:221009029,2002-10-09T23:00Z,8107,True,False,False,False,[],2002-10-09T23:00Z,18,EXH,6.0,6.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,,,,,,,,,,,,,
0,221009017,s:40~l:46~e:221009017~c:221009017,2002-10-09T23:30Z,4802,True,False,False,False,[],2002-10-09T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,False,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,2003,,,,,,,,,,,,,,
0,221010011,s:40~l:46~e:221010011~c:221010011,2002-10-10T23:00Z,5827,True,False,False,False,[],2002-10-10T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,0093B1,b4975a,False,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,,,,,,,,,,,,,
0,221010019,s:40~l:46~e:221010019~c:221010019,2002-10-10T23:00Z,12248,True,False,False,False,[],2002-10-10T23:00Z,18,EXH,11.0,11.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,4042,Amway Arena,Orlando,FL,17461.0,False,,,,,,,
0,221010022,s:40~l:46~e:221010022~c:221010022,2002-10-10T23:00Z,14157,True,False,False,False,[],2002-10-10T23:00Z,18,EXH,8.0,8.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,3423,Moda Center,Portland,OR,19441.0,False,,,,,,,
0,221010027,s:40~l:46~e:221010027~c:221010027,2002-10-10T23:00Z,15805,True,False,False,False,[],2002-10-10T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,1823,Capital One Arena,Washington,DC,20600.0,True,,,,,,,
0,221010002,s:40~l:46~e:221010002~c:221010002,2002-10-10T23:30Z,8024,True,False,False,False,[],2002-10-10T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,True,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,2160,Mohegan Sun Arena,Uncasville,CT,10000.0,True,,,,,,,
0,221010006,s:40~l:46~e:221010006~c:221010006,2002-10-10T23:30Z,16231,True,False,False,False,[],2002-10-10T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,True,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,516,American Airlines Center,Dallas,TX,19200.0,False,,,,,,,
0,221010008,s:40~l:46~e:221010008~c:221010008,2002-10-10T23:30Z,14317,True,False,False,False,[],2002-10-10T23:30Z,18,EXH,5.0,5.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,True,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,,,,,,,
0,221010018,s:40~l:46~e:221010018~c:221010018,2002-10-10T23:30Z,14254,True,False,False,False,[],2002-10-10T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,1830,Madison Square Garden,New York,NY,19763.0,False,,,,,,,
0,221010023,s:40~l:46~e:221010023~c:221010023,2002-10-10T23:30Z,11280,True,False,False,False,[],2002-10-10T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,True,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,f9a01b,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,,,,,,,playoff,Playoff Series,SAC Wins series 4-1,True,7.0,"[{'id': '23', 'uid': 's:40~l:46~t:23', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/23?lang=en&region=us'}, {'id': '26', 'uid': 's:40~l:46~t:26', 'wins': 1, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2003/teams/26?lang=en&region=us'}]",
0,221011014,s:40~l:46~e:221011014~c:221011014,2002-10-11T23:00Z,8257,True,False,False,False,[],2002-10-11T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,16,s:40~l:46~t:16,Minnesota,Timberwolves,MIN,Minnesota Timberwolves,Timberwolves,0E3764,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,,,,,,,,,,,,,
0,221011004,s:40~l:46~e:221011004~c:221011004,2002-10-11T23:30Z,1,True,False,False,False,[],2002-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,True,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,1847,United Center,Chicago,IL,20917.0,False,,,,,,,
0,221011009,s:40~l:46~e:221011009~c:221011009,2002-10-11T23:30Z,1,True,False,False,False,[],2002-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2465,ORACLE Arena,Oakland,CA,19596.0,False,,,,,,,
0,221011012,s:40~l:46~e:221011012~c:221011012,2002-10-11T23:30Z,11966,True,False,False,False,[],2002-10-11T23:30Z,18,EXH,216.0,3:36,4,3,STATUS_FINAL,post,True,Final,Final,Final,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,25,s:40~l:46~t:25,Seattle,SuperSonics,SEA,Seattle SuperSonics,SuperSonics,1C3F2C,f05133,False,,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,1841,STAPLES Center,Los Angeles,CA,19068.0,True,,,,,,,
0,221011013,s:40~l:46~e:221011013~c:221011013,2002-10-11T23:30Z,14672,True,False,False,False,[],2002-10-11T23:30Z,18,EXH,14.0,14.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,,,,,,,,,,,,,
0,221011015,s:40~l:46~e:221011015~c:221011015,2002-10-11T23:30Z,14021,True,False,False,False,[],2002-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,True,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,2099,BMO Harris Bradley Center,Milwaukee,WI,18717.0,False,,,,,,,
0,221011017,s:40~l:46~e:221011017~c:221011017,2002-10-11T23:30Z,6347,True,False,False,False,[],2002-10-11T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,False,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,2003,,2562,IZOD Center,East Rutherford,NJ,19990.0,False,,,,,,,
0,221012011,s:40~l:46~e:221012011~c:221012011,2002-10-12T23:00Z,12333,True,False,False,False,[],2002-10-12T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923.0,True,,,,,,,
0,221012023,s:40~l:46~e:221012023~c:221012023,2002-10-12T23:00Z,1,True,False,False,False,[],2002-10-12T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,True,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,2247,Sleep Train Arena,Sacramento,CA,17317.0,False,,,,,,,
0,221012003,s:40~l:46~e:221012003~c:221012003,2002-10-12T23:30Z,7121,True,False,False,False,[],2002-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,0093B1,b4975a,False,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,,,,,,,,,,,,,
0,221012013,s:40~l:46~e:221012013~c:221012013,2002-10-12T23:30Z,13952,True,False,False,False,[],2002-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,2559,Chesapeake Energy Arena,Oklahoma City,OK,18203.0,False,,,,,,,
0,221012014,s:40~l:46~e:221012014~c:221012014,2002-10-12T23:30Z,5174,True,False,False,False,[],2002-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,,,,,,,,,,,,,
0,221012018,s:40~l:46~e:221012018~c:221012018,2002-10-12T23:30Z,13625,True,False,False,False,[],2002-10-12T23:30Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,1830,Madison Square Garden,New York,NY,19763.0,False,,,,,,,
0,221013012,s:40~l:46~e:221013012~c:221013012,2002-10-13T22:00Z,10848,True,False,False,False,[],2002-10-13T22:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,1841,STAPLES Center,Los Angeles,CA,19068.0,True,,,,,,,
0,221013028,s:40~l:46~e:221013028~c:221013028,2002-10-13T22:00Z,16408,True,False,False,False,[],2002-10-13T22:00Z,18,EXH,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,1838,Scotiabank Arena,Toronto,ON,19800.0,False,,,,,,,OT
0,221014020,s:40~l:46~e:221014020~c:221014020,2002-10-14T23:00Z,18620,True,False,False,False,[],2002-10-14T23:00Z,18,EXH,0.0,0.0,5,3,STATUS_FINAL,post,True,Final,Final/OT,Final/OT,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,1845,Wells Fargo Center,Philadelphia,PA,20155.0,True,,,,,,,OT
0,221014022,s:40~l:46~e:221014022~c:221014022,2002-10-14T23:00Z,14048,True,False,False,False,[],2002-10-14T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2003,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,3423,Moda Center,Portland,OR,19441.0,False,,,,,,,
0,221014025,s:40~l:46~e:221014025~c:221014025,2002-10-14T23:00Z,9512,True,False,False,False,[],2002-10-14T23:00Z,18,EXH,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,25,s:40~l:46~t:25,Seattle,SuperSonics,SEA,Seattle SuperSonics,SuperSonics,1C3F2C,f05133,False,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,2003,,2184,KeyArena,Seattle,WA,17459.0,True,,,,,,,
