,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.logo,season,status.type.altDetail,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors
0,261013010,s:40~l:46~e:261013010~c:261013010,2006-10-13T23:30Z,6257,True,False,False,False,"[{'type': 'event', 'headline': 'AT LITTLE ROCK AR'}]",2006-10-13T23:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,2007,,,,,,,
0,261013018,s:40~l:46~e:261013018~c:261013018,2006-10-13T23:30Z,14440,True,False,False,False,[],2006-10-13T23:30Z,18,EXH,1830,Madison Square Garden,New York,NY,19763.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,False,,2007,,,,,,,
0,261014001,s:40~l:46~e:261014001~c:261014001,2006-10-14T23:00Z,10690,True,False,False,False,[],2006-10-14T23:00Z,18,EXH,1827,State Farm Arena,Atlanta,GA,16888.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,2007,,,,,,,
0,261014011,s:40~l:46~e:261014011~c:261014011,2006-10-14T23:00Z,12658,True,False,False,False,[],2006-10-14T23:00Z,18,EXH,2183,Bankers Life Fieldhouse,Indianapolis,IN,17923.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,f9a01b,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2007,,,,,,,
0,261014020,s:40~l:46~e:261014020~c:261014020,2006-10-14T23:00Z,14233,True,False,False,False,[],2006-10-14T23:00Z,18,EXH,1845,Wells Fargo Center,Philadelphia,PA,20155.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,2007,,,,,,,
0,261014024,s:40~l:46~e:261014024~c:261014024,2006-10-14T23:00Z,18797,True,False,False,False,[],2006-10-14T23:00Z,18,EXH,780,AT&T Center,San Antonio,TX,18354.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,2007,,,,,,,
0,261014029,s:40~l:46~e:261014029~c:261014029,2006-10-14T23:00Z,9871,True,False,False,False,[],2006-10-14T23:00Z,18,EXH,1392,FedExForum,Memphis,TN,18400.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,2007,,,,,,,
0,261014005,s:40~l:46~e:261014005~c:261014005,2006-10-14T23:30Z,17124,True,False,False,False,[],2006-10-14T23:30Z,18,EXH,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,2007,,playoff,Playoff Series,CLE Wins series 4-0,True,7.0,"[{'id': '5', 'uid': 's:40~l:46~t:5', 'wins': 4, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2007/teams/5?lang=en&region=us'}, {'id': '27', 'uid': 's:40~l:46~t:27', 'wins': 0, 'ties': 0, 'href': 'http://sports.core.api.espn.pvt/v2/sports/basketball/leagues/nba/seasons/2007/teams/27?lang=en&region=us'}]"
0,261014015,s:40~l:46~e:261014015~c:261014015,2006-10-14T23:30Z,12284,True,False,False,False,[],2006-10-14T23:30Z,18,EXH,2099,BMO Harris Bradley Center,Milwaukee,WI,18717.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,2007,,,,,,,
0,261014007,s:40~l:46~e:261014007~c:261014007,2006-10-15T00:00Z,12256,True,False,False,False,"[{'type': 'event', 'headline': 'AT MONTERREY MEXICO'}]",2006-10-15T00:00Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2007,,,,,,,
