,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,season,status.type.altDetail
0,291006027,s:40~l:46~e:291006027~c:291006027,2009-10-06T23:00Z,7500,True,False,False,False,"[{'type': 'event', 'headline': 'at Richmond, VA'}]",2009-10-06T23:00Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,1823,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,2010,
0,291006020,s:40~l:46~e:291006020~c:291006020,2009-10-06T23:30Z,7213,True,False,False,False,"[{'type': 'event', 'headline': 'at London, ON'}]",2009-10-06T23:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,1845,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,2010,
0,291006024,s:40~l:46~e:291006024~c:291006024,2009-10-07T00:30Z,15545,True,False,False,False,[],2009-10-07T00:30Z,18,EXH,780,AT&T Center,San Antonio,TX,18354.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,2010,
0,291006021,s:40~l:46~e:291006021~c:291006021,2009-10-07T02:00Z,0,True,False,False,False,[],2009-10-07T02:00Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,True,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,140,s:40~l:46~t:140,Partizan,Partizan,PTZ,Partizan,Partizan,,,False,,,2010,
0,291006022,s:40~l:46~e:291006022~c:291006022,2009-10-07T02:00Z,17682,True,False,False,False,[],2009-10-07T02:00Z,18,EXH,3423,Moda Center,Portland,OR,19441.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,3423,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,True,2247,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,2010,
0,291007001,s:40~l:46~e:291007001~c:291007001,2009-10-07T23:00Z,8024,True,False,False,False,[],2009-10-07T23:00Z,18,EXH,1827,State Farm Arena,Atlanta,GA,16888.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,1,s:40~l:46~t:1,Atlanta,Hawks,ATL,Atlanta Hawks,Hawks,002B5C,002b5c,True,1827,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/atl.png,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,0093B1,b4975a,False,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,2010,
0,291007019,s:40~l:46~e:291007019~c:291007019,2009-10-07T23:00Z,16101,True,True,False,False,[],2009-10-07T23:00Z,18,EXH,4042,Amway Arena,Orlando,FL,17461.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,4042,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,2010,
0,291007028,s:40~l:46~e:291007028~c:291007028,2009-10-07T23:00Z,11974,True,False,False,False,[],2009-10-07T23:00Z,18,EXH,1838,Scotiabank Arena,Toronto,ON,19800.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,1845,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,2010,
0,291007008,s:40~l:46~e:291007008~c:291007008,2009-10-07T23:30Z,12567,True,False,False,False,[],2009-10-07T23:30Z,18,EXH,3419,The Palace of Auburn Hills,Detroit,MI,22076.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,True,3419,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,True,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,2010,
0,291007029,s:40~l:46~e:291007029~c:291007029,2009-10-08T00:00Z,7217,True,False,False,False,[],2009-10-08T00:00Z,18,EXH,1392,FedExForum,Memphis,TN,18400.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,5D76A8,7399c6,True,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,C67C03,f05133,True,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,2010,
0,291007010,s:40~l:46~e:291007010~c:291007010,2009-10-08T00:30Z,6300,True,False,False,False,"[{'type': 'event', 'headline': 'at Hidalgo, TX'}]",2009-10-08T00:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,True,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,2010,
0,291007013,s:40~l:46~e:291007013~c:291007013,2009-10-08T02:00Z,13156,True,True,False,False,"[{'type': 'event', 'headline': 'AT ANAHEIM CA'}]",2009-10-08T02:00Z,18,EXH,1842,Honda Center,Anaheim,CA,0.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2010,
0,291007023,s:40~l:46~e:291007023~c:291007023,2009-10-08T02:00Z,10454,True,False,False,False,[],2009-10-08T02:00Z,18,EXH,2247,Sleep Train Arena,Sacramento,CA,17317.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,393996,8e9090,True,2247,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,3423,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,2010,
0,291008011,s:40~l:46~e:291008011~c:291008011,2009-10-08T11:30Z,13599,True,False,False,False,"[{'type': 'event', 'headline': 'at Taipei, Taiwan'}]",2009-10-08T11:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,892,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,2010,
0,291008132,s:40~l:46~e:291008132~c:291008132,2009-10-08T18:45Z,0,True,False,False,False,"[{'type': 'event', 'headline': 'at Madrid, Spain'}]",2009-10-08T18:45Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,132,s:40~l:46~t:132,Madrid,Real Madrid,MDR,Real Madrid,Real Madrid,,,False,,,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,06143F,f9a01b,True,3093,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2010,
0,291008030,s:40~l:46~e:291008030~c:291008030,2009-10-08T23:30Z,8623,True,False,False,False,"[{'type': 'event', 'headline': 'AT GREENSBORO NC'}]",2009-10-08T23:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,30,s:40~l:46~t:30,Charlotte,Bobcats,CHA,Charlotte Bobcats,Bobcats,FE3310,008ca8,False,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,0093B1,b4975a,False,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,2010,
0,291009019,s:40~l:46~e:291009019~c:291009019,2009-10-09T23:00Z,16344,True,True,False,False,[],2009-10-09T23:00Z,18,EXH,4042,Amway Arena,Orlando,FL,17461.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,4042,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,2010,
0,291009020,s:40~l:46~e:291009020~c:291009020,2009-10-09T23:00Z,12309,True,False,False,False,[],2009-10-09T23:00Z,18,EXH,1845,Wells Fargo Center,Philadelphia,PA,20155.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,1845,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,False,2562,,2010,
0,291009027,s:40~l:46~e:291009027~c:291009027,2009-10-09T23:00Z,8102,True,False,False,False,[],2009-10-09T23:00Z,18,EXH,1823,Capital One Arena,Washington,DC,20600.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,1823,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,6,s:40~l:46~t:6,Dallas,Mavericks,DAL,Dallas Mavericks,Mavericks,0C479D,c4ced3,True,516,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/dal.png,2010,
0,291009002,s:40~l:46~e:291009002~c:291009002,2009-10-09T23:30Z,18624,True,False,False,False,[],2009-10-09T23:30Z,18,EXH,1824,TD Garden,Boston,MA,18624.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,True,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,18,s:40~l:46~t:18,New York,Knicks,NY,New York Knicks,Knicks,225EA8,f58426,True,1830,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ny.png,2010,
0,291009016,s:40~l:46~e:291009016~c:291009016,2009-10-10T00:00Z,8822,True,False,False,False,[],2009-10-10T00:00Z,18,EXH,2029,Target Center,Minneapolis,MN,19356.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,16,s:40~l:46~t:16,Minnesota,Timberwolves,MIN,Minnesota Timberwolves,Timberwolves,0E3764,c4ced3,True,2029,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/min.png,28,s:40~l:46~t:28,Toronto,Raptors,TOR,Toronto Raptors,Raptors,CE0F41,061922,True,1838,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/tor.png,2010,
0,291009024,s:40~l:46~e:291009024~c:291009024,2009-10-10T00:30Z,0,True,False,False,False,[],2009-10-10T00:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,141,s:40~l:46~t:141,Olympiacos,Olympiacos,OLY,Olympiacos,Olympiacos,,,False,,,2010,
0,291009013,s:40~l:46~e:291009013~c:291009013,2009-10-10T02:00Z,17505,True,False,False,False,"[{'type': 'event', 'headline': 'at Inglewood, CA'}]",2009-10-10T02:00Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,542582,552582,True,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2010,
0,291009012,s:40~l:46~e:291009012~c:291009012,2009-10-10T02:30Z,11477,True,False,False,False,[],2009-10-10T02:30Z,18,EXH,1841,STAPLES Center,Los Angeles,CA,19068.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,FA0028,f1f2f3,True,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,3423,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,2010,
0,291010003,s:40~l:46~e:291010003~c:291010003,2009-10-10T18:00Z,11568,True,False,False,False,[],2009-10-10T18:00Z,18,EXH,985,Smoothie King Center,New Orleans,LA,16867.0,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,3,s:40~l:46~t:3,New Orleans,Hornets,NO,New Orleans Hornets,Hornets,0093B1,b4975a,False,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,25,s:40~l:46~t:25,Oklahoma City,Thunder,OKC,Oklahoma City Thunder,Thunder,C67C03,f05133,True,2559,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/okc.png,2010,
0,291010030,s:40~l:46~e:291010030~c:291010030,2009-10-10T23:30Z,11489,True,False,False,False,"[{'type': 'event', 'headline': 'at North Charleston, NC'}]",2009-10-10T23:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,30,s:40~l:46~t:30,Charlotte,Bobcats,CHA,Charlotte Bobcats,Bobcats,FE3310,008ca8,False,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,061642,fdbb30,True,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,2010,
0,291010015,s:40~l:46~e:291010015~c:291010015,2009-10-11T00:30Z,5642,True,False,False,False,"[{'type': 'event', 'headline': 'at Green Bay, WI'}]",2009-10-11T00:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,15,s:40~l:46~t:15,Milwaukee,Bucks,MIL,Milwaukee Bucks,Bucks,003813,f0ebd2,True,2099,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mil.png,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,000000,000000,True,1847,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,2010,
0,291010021,s:40~l:46~e:291010021~c:291010021,2009-10-11T01:30Z,14979,True,False,False,False,"[{'type': 'event', 'headline': 'at Palm Springs, CA'}]",2009-10-11T01:30Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,21,s:40~l:46~t:21,Phoenix,Suns,PHX,Phoenix Suns,Suns,23006A,f1f2f3,True,1949,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phx.png,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,00275D,fdb927,True,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2010,
0,291011007,s:40~l:46~e:291011007~c:291011007,2009-10-11T04:00Z,16982,True,False,False,False,"[{'type': 'event', 'headline': 'at Beijing, China'}]",2009-10-11T04:00Z,18,EXH,,,,,,,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,7,s:40~l:46~t:7,Denver,Nuggets,DEN,Denver Nuggets,Nuggets,0860A8,fdb927,True,892,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/den.png,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,2010,
0,291011002,s:40~l:46~e:291011002~c:291011002,2009-10-11T17:00Z,18624,True,False,False,False,[],2009-10-11T17:00Z,18,EXH,1824,TD Garden,Boston,MA,18624.0,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,,,,,,,2,s:40~l:46~t:2,Boston,Celtics,BOS,Boston Celtics,Celtics,006532,f1f2f3,True,1824,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/bos.png,17,s:40~l:46~t:17,New Jersey,Nets,NJ,New Jersey Nets,Nets,06143F,ffffff,False,2562,,2010,
