,id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.isActive,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,venue.address.state,home.color,home.alternateColor,home.venue.id,home.logo,season,status.type.altDetail,series.type,series.title,series.summary,series.completed,series.totalCompetitions,series.competitors
0,400489903,s:40~l:46~e:400489903~c:400489903,2014-03-22T02:00Z,17317,True,False,False,False,[],2014-03-22T02:00Z,1,STD,2247,Sleep Train Arena,Sacramento,17317,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,23,s:40~l:46~t:23,Sacramento,Kings,SAC,Sacramento Kings,Kings,True,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,CA,393996,8e9090,2247,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sac.png,2014,,,,,,,
0,400489904,s:40~l:46~e:400489904~c:400489904,2014-03-22T02:30Z,18112,True,False,False,False,[],2014-03-22T02:30Z,1,STD,1841,STAPLES Center,Los Angeles,19068,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,13,s:40~l:46~t:13,Los Angeles,Lakers,LAL,Los Angeles Lakers,Lakers,True,27,s:40~l:46~t:27,Washington,Wizards,WSH,Washington Wizards,Wizards,0E3764,e31837,True,1823,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/wsh.png,CA,542582,552582,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lal.png,2014,,,,,,,
0,400489905,s:40~l:46~e:400489905~c:400489905,2014-03-22T23:00Z,18706,True,False,False,False,[],2014-03-22T23:00Z,1,STD,1893,Spectrum Center,Charlotte,19077,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,30,s:40~l:46~t:30,Charlotte,Bobcats,CHA,Charlotte Bobcats,Bobcats,False,22,s:40~l:46~t:22,Portland,Trail Blazers,POR,Portland Trail Blazers,Trail Blazers,000000,bac3c9,True,3423,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/por.png,NC,FE3310,008ca8,1893,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cha.png,2014,,,,,,,
0,400489906,s:40~l:46~e:400489906~c:400489906,2014-03-22T23:30Z,19058,True,False,False,False,[],2014-03-22T23:30Z,1,STD,3417,Rocket Mortgage FieldHouse,Cleveland,19432,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,5,s:40~l:46~t:5,Cleveland,Cavaliers,CLE,Cleveland Cavaliers,Cavaliers,True,10,s:40~l:46~t:10,Houston,Rockets,HOU,Houston Rockets,Rockets,D40026,c4ced3,True,1394,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/hou.png,OH,061642,fdbb30,3417,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/cle.png,2014,,,,,,,
0,400489907,s:40~l:46~e:400489907~c:400489907,2014-03-23T00:00Z,21799,True,False,False,False,[],2014-03-23T00:00Z,1,STD,1847,United Center,Chicago,20917,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,4,s:40~l:46~t:4,Chicago,Bulls,CHI,Chicago Bulls,Bulls,True,20,s:40~l:46~t:20,Philadelphia,76ers,PHI,Philadelphia 76ers,76ers,000000,f1f2f3,True,1845,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/phi.png,IL,000000,000000,1847,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/chi.png,2014,,,,,,,
0,400489908,s:40~l:46~e:400489908~c:400489908,2014-03-23T00:00Z,18119,True,False,False,False,[],2014-03-23T00:00Z,1,STD,1392,FedExForum,Memphis,18400,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,29,s:40~l:46~t:29,Memphis,Grizzlies,MEM,Memphis Grizzlies,Grizzlies,True,11,s:40~l:46~t:11,Indiana,Pacers,IND,Indiana Pacers,Pacers,061642,00275d,True,2183,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/ind.png,TN,5D76A8,7399c6,1392,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mem.png,2014,,,,,,,
0,400489909,s:40~l:46~e:400489909~c:400489909,2014-03-23T00:00Z,18185,True,False,False,False,[],2014-03-23T00:00Z,1,STD,985,Smoothie King Center,New Orleans,16867,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,3,s:40~l:46~t:3,New Orleans,Pelicans,NO,New Orleans Pelicans,Pelicans,True,14,s:40~l:46~t:14,Miami,Heat,MIA,Miami Heat,Heat,000000,000000,True,3438,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/mia.png,LA,0093B1,b4975a,985,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/no.png,2014,,,,,,,
0,400489910,s:40~l:46~e:400489910~c:400489910,2014-03-23T01:00Z,19228,True,False,False,False,[],2014-03-23T01:00Z,1,STD,3093,Vivint Smart Home Arena,Salt Lake City,18306,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,26,s:40~l:46~t:26,Utah,Jazz,UTAH,Utah Jazz,Jazz,True,19,s:40~l:46~t:19,Orlando,Magic,ORL,Orlando Magic,Magic,0860A8,c4ced3,True,3432,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/orl.png,UT,06143F,f9a01b,3093,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/utah.png,2014,,,,,,,
0,400489911,s:40~l:46~e:400489911~c:400489911,2014-03-23T02:30Z,19596,True,False,False,False,[],2014-03-23T02:30Z,1,STD,2465,ORACLE Arena,Oakland,19596,False,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,9,s:40~l:46~t:9,Golden State,Warriors,GS,Golden State Warriors,Warriors,True,24,s:40~l:46~t:24,San Antonio,Spurs,SA,San Antonio Spurs,Spurs,000000,061922,True,780,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/sa.png,CA,00275D,fdb927,2465,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/gs.png,2014,,,,,,,
0,400489912,s:40~l:46~e:400489912~c:400489912,2014-03-23T02:30Z,19214,True,False,False,False,[],2014-03-23T02:30Z,1,STD,1841,STAPLES Center,Los Angeles,19068,True,0.0,0.0,4,3,STATUS_FINAL,post,True,Final,Final,Final,12,s:40~l:46~t:12,LA,Clippers,LAC,LA Clippers,Clippers,True,8,s:40~l:46~t:8,Detroit,Pistons,DET,Detroit Pistons,Pistons,FA002C,006bb6,True,3419,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/det.png,CA,FA0028,f1f2f3,1841,https://a.espncdn.com/i/teamlogos/nba/500/scoreboard/lac.png,2014,,,,,,,
