"Team","Conf.x","HCA","HCA.Rk","PF","PF.Rk","Pts","Pts.Rk","NST","NST.Rk","Blk","Blk.Rk","Elev","Elev.Rk","Rk","Conf.y","Arena","Alternate","Year","lon","lat"
"Western Kentucky","CUSA",4.1,16,-4.8,11,6.8,138,-2.5,3,2,28,500,166,152,"CUSA","E.A. Diddle Arena","",2021,-86.4576178,36.9863236
"Connecticut","BE",4,17,-4.4,23,8.4,64,-2.3,10,1.9,37,600,137,92,"BE","Gampel Pavilion","XL Center (15,564)",2021,-72.2545924,41.8048726
"Iowa St.","B12",4,18,-3.5,87,10.2,19,-2.5,5,2,31,900,68,37,"B12","Hilton Coliseum","",2021,-93.6348693,42.0211714
"Kansas St.","B12",4,19,-4.2,28,8.5,63,-1.8,29,1.9,36,1100,48,48,"B12","Bramlage Coliseum","",2021,-96.5937885,39.2003598
"Charlotte","CUSA",4,20,-3.7,65,10.6,13,-1.9,18,1.6,100,700,113,109,"CUSA","Halton Arena","",2021,-80.7344525,35.306403
"Drake","MVC",4,21,-4.6,17,9.5,30,-0.6,217,1.6,79,900,68,167,"MVC","Knapp Center","",2021,-93.6521848,41.6046559
"Missouri","SEC",4,22,-4.1,35,9.4,34,-1.5,60,1.9,40,700,113,27,"SEC","Mizzou Arena","",2021,-92.3337354,38.9324883
"UTEP","CUSA",4,23,-3.9,53,7.5,103,-1.7,45,0.9,239,3800,19,58,"CUSA","Don Haskins Center","",2021,-106.5057042,31.7777601
"Oklahoma","B12",4,24,-4.1,32,9.7,25,-1,143,1.7,67,1100,48,61,"B12","Lloyd Noble Center","",2021,-97.444262,35.18733
"SMU","Amer",4,25,-3.8,56,10.4,15,-1.4,74,1.8,51,600,137,115,"Amer","Moody Coliseum","",2021,-96.7806333,32.8403778
"Evansville","MVC",3.9,26,-5.2,2,6.6,148,-2.4,7,0.8,253,400,185,116,"MVC","Ford Center","",2021,-96.8283481,33.1105911
"Illinois St.","MVC",3.9,27,-4.3,27,10.1,21,-1.5,57,0.8,253,800,91,90,"MVC","Redbird Arena","",2021,-88.9987999,40.5106898
"Utah Valley","WAC",3.9,28,-2.8,153,8.8,56,-1.6,53,1.2,174,4600,15,125,"WAC","UCCU Center","",2021,-111.7170486,40.2786407
"Clemson","ACC",3.9,29,-4,44,8.7,59,-1.7,41,2,28,700,113,113,"ACC","Littlejohn Coliseum","",2021,-82.8464242,34.6804137
"South Carolina","SEC",3.9,30,-5.2,5,8.1,75,-1.7,41,0.6,306,200,232,12,"SEC","Colonial Life Arena","",2021,-81.0371971,33.9948495
"Texas A&M","SEC",3.9,31,-5,6,5.7,207,-2.4,7,1.6,92,400,185,45,"SEC","Reed Arena","",2021,-96.3462861,30.6060453
"Maryland","B10",3.9,32,-4.8,11,7.5,102,-1.8,33,1.5,103,100,259,14,"B10","Xfinity Center","",2021,-71.2199873,41.9924315
"Purdue","B10",3.9,33,-4.1,37,9.9,23,-0.8,186,1.8,49,600,137,31,"B10","Mackey Arena","",2021,-86.9157668,40.4332234
"Oregon","P12",3.9,34,-3.2,108,12.4,2,-0.3,267,2.2,15,400,185,47,"P12","Knight Arena","",2021,-123.0663109,44.0449193
"Ohio St.","B10",3.9,35,-4,44,10.8,11,-0.7,210,1.4,142,700,113,8,"B10","Value City Arena","",2021,-83.0249431,40.0079107
"Nevada","MWC",3.9,36,-3,127,8.5,61,-1.4,69,0.7,295,4600,15,62,"MWC","Lawlor Events Center","",2021,-119.8183,39.5451
"TCU","B12",3.9,37,-4,39,9.2,44,-1.1,128,1.9,40,600,137,178,"B12","Schollmaier Arena","",2021,-97.3667142,32.7088144
"Colorado St.","MWC",3.9,38,-2.8,155,7.1,121,-1.8,29,1.3,158,5000,8,119,"MWC","Moby Arena","",2021,-105.0932246,40.5756843
"Cincinnati","Amer",3.8,39,-3.6,76,9.3,41,-1.8,29,1.5,113,800,91,56,"Amer","Fifth Third Arena","",2021,-87.6733653,41.8773847
"Kentucky","SEC",3.8,40,-4.2,30,9,51,-0.9,150,1.3,160,1000,58,5,"SEC","Rupp Arena","",2021,-84.5025226,38.0492752
"South Dakota St.","Sum",3.8,41,-3.1,122,11,9,-1.8,34,0.6,303,1600,37,181,"Sum","Frost Arena","",2021,-96.7791265,44.318304
"Rutgers","B10",3.8,42,-4,39,7.9,79,-2.2,11,1.9,48,0,308,139,"B10","Rutgers Athletic Center","",2021,-74.441353,40.52525
"Mississippi St.","SEC",3.8,43,-4,44,9.6,27,-0.5,232,2,31,400,185,74,"SEC","Humphrey Coliseum","",2021,-88.7940254,33.4614159
"Ohio","MAC",3.8,44,-3.9,51,7.5,106,-2.7,1,1.3,154,600,137,44,"MAC","Convocation Center","",2021,-88.7853088,41.9355125
"Dayton","A10",3.8,45,-4.5,19,7.7,92,-1.9,18,0.7,289,700,113,42,"A10","University of Dayton Arena","",2021,-84.1997159,39.7356112
"Kansas","B12",3.8,46,-4.2,30,8.9,53,-1.2,113,1,221,900,68,20,"B12","Allen Fieldhouse","",2021,-95.2527778,38.9541667
"Old Dominion","CUSA",3.8,47,-4,38,9.1,49,-1.1,119,1.7,61,0,308,131,"CUSA","Constant Convocation Center","",2021,-76.3013504,36.8841366
"Louisville","ACC",3.8,48,-4.8,13,6.2,176,-1.6,52,1.3,154,400,185,2,"ACC","KFC Yum! Center","",2021,-85.7542438,38.2571679
"Texas","B12",3.8,49,-4.3,26,7.7,92,-1.8,37,1.1,215,500,166,19,"B12","Erwin Center","",2021,-97.732185,30.2769359
"Marshall","CUSA",3.8,50,-3.9,49,9.5,30,-0.9,164,1.2,169,500,166,112,"CUSA","Henderson Center","",2021,-80.1849404,26.194375
"Bradley","MVC",3.7,51,-4.2,29,9.1,46,-0.7,197,1.1,191,500,166,68,"MVC","Carver Arena","",2021,-91.5546047,41.663778
"Denver","Sum",3.7,52,-2.8,155,7.9,81,0.3,335,1.6,84,5300,6,164,"Sum","Magness Arena","",2021,-104.9616342,39.6821222
"Tennessee","SEC",3.7,53,-4.4,22,6.4,163,-1.9,21,1,229,900,68,4,"SEC","Thompson Boling Arena","",2021,-83.9250359,35.9511794
"Michigan St.","B10",3.7,54,-3.9,54,6.7,144,-1.4,84,2.3,13,800,91,32,"B10","Breslin Center","",2021,-84.4923695,42.7283325
"Boise St.","MWC",3.7,55,-3.9,54,7.2,119,-1.1,114,0.7,284,2700,23,51,"MWC","ExtraMile Arena","",2021,-116.1989424,43.6035805
"Oklahoma St.","B12",3.7,56,-4,39,7,128,-1.7,48,1.4,126,900,68,41,"B12","Gallagher Iba Arena","",2021,-97.0651325,36.1257039
"La Salle","A10",3.7,57,-3.8,62,9.7,26,-0.8,176,1.4,149,200,232,266,"A10","Tom Gola Arena","",2021,-75.1562158,40.0400211
"UCLA","P12",3.7,58,-3.8,62,9.4,36,-1,135,1,221,400,185,40,"P12","Pauley Pavilion","",2021,-118.4469294,34.0703423
"Georgia","SEC",3.7,59,-4.5,21,7.2,118,-0.7,197,1.2,172,700,113,76,"SEC","Stegeman Coliseum","",2021,-83.3781197,33.9427339
"Indiana St.","MVC",3.7,60,-4,42,10.4,15,-0.4,250,0.5,317,500,166,90,"MVC","Hulman Center","",2021,-87.4051228,39.4684796
"Wyoming","MWC",3.7,61,-2,213,6.3,175,-0.8,183,1.1,191,7200,1,66,"MWC","Arena Auditorium","",2021,-105.5694444,41.3133333
"Tulsa","Amer",3.7,62,-2.8,155,10.7,12,-1.2,96,1.4,130,800,91,132,"Amer","Reynolds Center","",2021,-95.9420646,36.1490729
"LSU","SEC",3.7,63,-4.9,8,5.9,193,-1.4,74,1.2,183,0,308,43,"SEC","Maravich Assembly Center","",2021,-91.1846265,30.4142761
"Southern Miss","CUSA",3.7,64,-2.6,170,11.9,4,-1.2,106,1.4,132,200,232,137,"CUSA","Reed Green Coliseum","",2021,-89.3379397,31.331209
"California","P12",3.7,65,-3.3,103,8.8,55,-1.9,23,1.5,116,200,232,59,"P12","Haas Pavilion","",2021,-122.2621795,37.8694051
"Mississippi","SEC",3.6,66,-3.7,68,7.7,92,-1.1,125,2,31,500,166,101,"SEC","The Pavilion at Ole Miss","",2021,-89.536016,34.3628353
"Missouri St.","MVC",3.6,67,-4.1,36,6.9,133,-1.7,47,0.6,306,1300,41,69,"MVC","JQH Arena","",2021,-93.2831751,37.2019687
"Arizona St.","P12",3.6,68,-3.3,97,7.9,80,-0.7,204,2.1,18,1200,43,72,"P12","Desert Financial Arena","",2021,-111.9310002,33.424495
"BYU","WCC",3.6,69,-2.7,164,7.9,81,0,311,1.1,215,4700,14,9,"WCC","Marriott Center","",2021,-111.6492787,40.2540523
"St. John's","BE",3.6,70,-3.2,109,8.1,73,-1.2,96,2.4,11,100,259,206,"BE","Carnesecca Arena","Madison Square Garden (19,786)",2021,-73.7945776,40.7241294
"Duke","ACC",3.6,71,-2.9,137,9.6,28,-0.7,197,2.2,15,400,185,104,"ACC","Cameron Indoor Stadium","",2021,-78.942205,35.9974715
"UCF","Amer",3.6,72,-3.6,79,7.7,91,-1.8,34,1.6,92,100,259,97,"Amer","Addition Financial Arena","",2021,-81.1973669,28.607225
"Nebraska","B10",3.6,73,-4.3,24,6.9,132,-0.5,232,1.1,219,1100,48,29,"B10","Pinnacle Bank Arena","",2021,-96.7126194,40.817931
"Miami OH","MAC",3.6,74,-3.8,59,6.1,184,-1.5,55,1.7,66,900,68,186,"MAC","Millett Hall","",2021,-84.734543,39.5172109
"Washington","P12",3.6,75,-3.5,83,7.5,98,-0.8,170,2.5,8,100,259,106,"P12","Alaska Airlines Arena","",2021,-122.3021452,47.6520654
"San Diego St.","MWC",3.6,76,-3.6,76,9.4,34,-1,139,0.7,279,400,185,52,"MWC","Viejas Arena","",2021,-117.0745172,32.7739056
"Auburn","SEC",3.6,77,-3.5,83,7.7,90,-0.7,204,2,26,700,113,108,"SEC","Auburn Arena","",2021,-85.4924988,32.6027586
"NJIT","AE",3.6,78,-2.8,158,9.6,29,-1.8,36,1.6,91,100,259,283,"AE","Wellness and Events Center","",2021,-74.1804421,40.7422515
"N.C. State","ACC",3.6,79,-3.3,106,7.5,100,-1.4,79,2.1,23,400,185,6,"ACC","PNC Arena","",2021,-78.7218018,35.803329
"New Mexico St.","WAC",3.6,80,-2.7,162,6.5,155,-0.3,277,1.9,37,4000,18,50,"WAC","Pan American Center","",2021,-106.7421707,32.2836754
"Wisconsin","B10",3.6,81,-4.5,18,6.1,184,-0.8,193,0.9,242,900,68,18,"B10","Kohl Center","",2021,-89.39672,43.069396
"Furman","SC",3.6,82,-2.7,160,8.2,68,-0.8,193,2.7,3,1000,58,231,"SC","Timmons Arena","",2021,-82.437289,34.9179345
"Wright St.","Horz",3.6,83,-3.4,88,9.1,48,-1.3,93,0.5,320,900,68,81,"Horz","Nutter Center","",2021,-84.0522812,39.7820712
"Baylor","B12",3.6,84,-4.7,15,5,243,-1.4,69,1.1,191,400,185,85,"B12","Ferrell Center","",2021,-97.105669,31.5479228
"Michigan","B10",3.6,85,-3.7,68,6.6,153,-1.7,46,1.2,174,900,68,46,"B10","Crisler Center","",2021,-83.7467082,42.2650465
"Creighton","BE",3.6,86,-3.2,114,7.9,78,-1.4,79,1.4,132,1000,58,17,"BE","CHI Health Center Omaha","",2021,-95.9282961,41.2636927
"Western Michigan","MAC",3.6,87,-3.5,81,8.5,60,-1.3,87,0.6,303,800,91,213,"MAC","University Arena","",2021,-85.6086875,42.2833506
"Arizona","P12",3.5,88,-3.4,93,6.8,137,-0.7,204,1.2,183,2400,27,34,"P12","McKale Memorial Center","",2021,-110.9460438,32.2297033
"Indiana","B10",3.5,89,-3.8,59,8.7,58,0.1,328,1.2,183,800,91,16,"B10","Assembly Hall","",2021,-86.5221318,39.1808898
"Weber St.","BSky",3.5,90,-1.6,248,6.5,160,-1.1,129,2.2,14,4800,10,64,"BSky","Dee Events Center","",2021,-111.9450635,41.1823818
"George Washington","A10",3.5,91,-2.7,159,9.5,30,-1.9,26,1.1,191,100,259,256,"A10","Charles E. Smith Center","",2021,-77.049338,38.8978433
"VCU","A10",3.5,92,-3.4,95,9.2,44,-1.2,106,0.8,272,200,232,150,"A10","Siegel Center","",2021,-77.4529235,37.5529069
"Minnesota","B10",3.5,93,-3.9,50,7.8,86,-0.2,286,1.1,212,800,91,35,"B10","Williams Arena","",2021,-93.2279713,44.9768472
"Stephen F. Austin","Slnd",3.5,94,-2.6,168,8.2,68,-2,14,1.8,57,300,210,162,"Slnd","Johnson Coliseum","",2021,-95.5462167,30.712925
"Oregon St.","P12",3.5,95,-3.3,106,9.3,39,-0.4,250,1.4,119,200,232,100,"P12","Gill Coliseum","",2021,-123.2805695,44.5612609
"Coastal Carolina","SB",3.5,96,-3.6,79,8.2,70,-1,135,1.3,166,0,308,278,"SB","HTC Center","",2021,-79.0157505,33.7988949
"Northern Iowa","MVC",3.5,97,-4,44,7.4,109,-1.2,96,0.2,343,900,68,160,"MVC","McLeod Center","",2021,-80.8811032,35.1959983
"Massachusetts","A10",3.5,98,-3.7,68,6.4,166,-1.9,18,1.2,174,200,232,102,"A10","Mullins Center","",2021,-72.5334464,42.389382
"Marquette","BE",3.5,99,-3.3,99,6.4,165,-1.4,69,1.9,44,600,137,15,"BE","Fiserv Forum","",2021,-87.9173862,43.0450802
"Akron","MAC",3.5,100,-3.9,51,6.7,146,-0.7,203,0.9,244,1100,48,209,"MAC","Rhodes Arena","",2021,-81.5088053,41.075549
"Florida St.","ACC",3.5,101,-4,44,8.9,52,0.1,322,0.8,258,100,259,55,"ACC","Donald L. Tucker Center","",2021,-84.2866581,30.4377823
"St. Bonaventure","A10",3.5,102,-3.6,74,5.1,237,-1.7,48,1.3,160,1400,38,203,"A10","Reilly Center","",2021,-90.1171904,29.9434524
"UNLV","MWC",3.5,103,-3.1,122,6.5,158,-1.5,56,0.8,253,2000,31,12,"MWC","Thomas & Mack Center","",2021,-95.6164276,37.0370221
"Washington St.","P12",3.5,104,-2.1,199,8,76,-0.9,150,1.5,108,2600,24,60,"P12","Friel Court","",2021,-117.1580849,46.735235
"Houston Baptist","Slnd",3.5,105,-3.2,114,7.5,103,-1.1,125,1.9,44,100,259,353,"Slnd","Sharp Gym","",2021,-97.6087531,38.8393199
"North Dakota St.","Sum",3.4,106,-3.1,122,9.1,47,-0.7,210,0.7,279,900,68,205,"Sum","Scheels Center","",2021,-96.7982612,46.9003733
"Penn St.","B10",3.4,107,-3.2,116,7.2,116,-0.2,286,1.9,35,1200,43,25,"B10","Bryce Jordan Center","",2021,-77.8556061,40.8086107
"UNC Wilmington","CAA",3.4,108,-3.3,103,8.1,71,-0.8,170,1.5,108,0,308,192,"CAA","Trask Coliseum","",2021,-77.8783329,34.2250178
"Alabama","SEC",3.4,109,-3.8,59,6.7,142,0.1,322,2.1,25,200,232,24,"SEC","Coleman Coliseum","",2021,-87.5396965,33.2030429
"Southern Illinois","MVC",3.4,110,-3.8,56,8.1,71,-0.1,296,0.8,272,400,185,133,"MVC","Banterra Center","",2021,-89.2187116,37.7083282
"Seton Hall","BE",3.4,111,-3.7,64,6,187,-1.4,77,1.4,132,0,308,80,"BE","Prudential Center","",2021,-71.0817427,42.3470567
"Buffalo","MAC",3.4,112,-3.4,90,5.8,199,-2.3,9,0.8,258,600,137,192,"MAC","Alumni Arena","",2021,-78.7811679,43.0001109
"Syracuse","ACC",3.4,113,-3.6,71,5.3,227,-1.1,125,1.8,58,600,137,1,"ACC","Carrier Dome","",2021,-76.1363161,43.0362269
"Florida","SEC",3.4,114,-4.3,25,4.5,274,-0.8,170,1.5,102,200,232,94,"SEC","Exactech Arena","",2021,-82.3511547,29.64939
"Virginia Tech","ACC",3.4,115,-2,209,7.6,97,-2,17,1,227,2200,28,105,"ACC","Cassell Coliseum","",2021,-80.4190748,37.2226899
"UT Arlington","SB",3.4,116,-3,133,7.1,124,-1,143,1.8,49,600,137,171,"SB","College Park Center","",2021,-97.1080356,32.7306428
"North Carolina","ACC",3.4,117,-3.6,73,5.5,219,-1.2,96,1.6,79,400,185,3,"ACC","Dean E. Smith Center","",2021,-79.0438731,35.8994844
"Eastern Michigan","MAC",3.4,118,-3.1,125,7.6,95,-0.8,186,1.2,169,800,91,117,"MAC","Convocation Center","",2021,-88.7853088,41.9355125
"Miami FL","ACC",3.4,119,-3.4,93,7.8,88,-0.9,167,1.1,191,0,308,145,"ACC","Watsco Center","",2021,-80.2793482,25.7153176
"Wichita St.","Amer",3.4,120,-3,133,7.5,100,-1.2,103,0.7,295,1400,38,77,"Amer","Charles Koch Arena","",2021,-97.297447,37.721663
"USC","P12",3.4,121,-2.3,189,9,50,-1.9,26,1.2,179,200,232,87,"P12","Galen Center","",2021,-118.2797113,34.0208219
"South Carolina St.","MEAC",3.4,122,-4,42,5.8,196,-0.2,281,1.6,75,300,210,295,"MEAC","Smith Hammond Middleton Center","",2021,-80.846515,33.5010199
"UAB","CUSA",3.4,123,-2.9,139,7.8,88,-0.4,252,1.8,51,600,137,125,"CUSA","Bartow Arena","",2021,-86.8092363,33.5023301
"Georgia St.","SB",3.4,124,-3,131,7.1,124,-0.6,227,1.6,78,1000,58,291,"SB","GSU Sports Arena","",2021,-84.3863189,33.7516867
"Northern Arizona","BSky",3.3,125,-1.4,271,4.5,269,-0.6,217,1.5,116,6900,3,158,"BSky","Walkup Skydome","",2021,-111.6528102,35.1805295
"North Texas","CUSA",3.3,126,-3.3,101,6.3,172,-1.1,129,1.2,183,700,113,78,"CUSA","The Super Pit","",2021,121.5055958,-30.7776326
"Oral Roberts","Sum",3.3,127,-2.9,146,8.5,62,-0.8,189,0.8,258,600,137,74,"Sum","Mabee Center","",2021,-95.9558424,36.0480407
"Central Arkansas","Slnd",3.3,128,-2,208,8.3,67,-0.8,179,2.5,10,300,210,209,"Slnd","Farris Center","",2021,-92.4594976,35.0818647
"Montana St.","BSky",3.3,129,-1.1,300,8.8,56,0,311,0.9,246,4900,9,247,"BSky","Worthington Arena","",2021,-111.0506118,45.6633982
"Florida Gulf Coast","ASun",3.3,130,-2.6,166,9.8,24,-0.1,305,1.3,160,0,308,247,"ASun","Alico Arena","",2021,-81.7646659,26.4710624
"Middle Tennessee","CUSA",3.3,131,-2.6,166,7.5,105,-0.9,150,1.6,100,600,137,63,"CUSA","Murphy Center","",2021,-105.0722952,40.6031625
"Louisiana Monroe","SB",3.3,132,-2.8,148,8,77,-1.4,84,0.9,239,100,259,171,"SB","Fant-Ewing Coliseum","",2021,-92.069453,32.5310438
"Davidson","A10",3.3,133,-1.9,217,9.3,38,-0.7,204,1.6,97,800,91,217,"A10","Belk Arena","",2021,-80.8403139,35.4993221
"Lamar","Slnd",3.3,134,-3.6,71,6.3,171,-0.3,273,1.4,130,0,308,95,"Slnd","Montagne Center","",2021,-94.0707145,30.0442788
"UNC Greensboro","SC",3.3,135,-2.4,184,5.2,233,-1.4,68,2.6,4,900,68,151,"SC","Greensboro Coliseum","Fleming Gymnasium (2,320)",2021,-79.8253632,36.0590225
"The Citadel","SC",3.3,136,-3.6,74,4.3,281,-1.4,64,1.7,63,0,308,195,"SC","McAlister Field House","",2021,-79.9623637,32.7985855
"Seattle","WAC",3.3,137,-3,132,6,189,-1.9,28,1.2,181,300,210,355,"WAC","Redhawk Center","",2021,-122.3139493,47.6067756
"North Carolina Central","MEAC",3.3,138,-1.8,228,10.3,17,-0.7,195,1.4,142,400,185,304,"MEAC","McLendon-McDougald Gymnasium","",2021,-78.8977563,35.9758995
"UTSA","CUSA",3.3,139,-2.1,201,10,22,-0.8,176,1,231,300,210,265,"CUSA","UTSA Convocation Center","",2021,-98.6214107,29.5823631
"Valparaiso","MVC",3.3,140,-3.6,76,6.5,161,0.3,335,1.3,154,800,91,231,"MVC","Athletics Recreation Center","",2021,-87.0483333,41.4641667
"Tennessee Martin","OVC",3.3,141,-2.9,140,6.7,142,-0.8,170,1.6,92,400,185,257,"OVC","Elam Center","",2021,-86.8077515,36.1660646
"UNC Asheville","BSth",3.3,142,-1.6,244,7.8,83,-0.9,153,1.7,67,2100,29,295,"BSth","Kimmel Arena","",2021,-82.5688412,35.6180967
"Arkansas St.","SB",3.3,143,-3.2,109,4.8,249,-1.3,89,1.9,42,300,210,96,"SB","First National Bank Arena","",2021,-90.670336,35.845407
"Western Carolina","SC",3.3,144,-2.8,147,5.5,215,-1,143,0.9,242,2100,29,148,"SC","Ramsey Center","",2021,-83.3714103,33.937632
"Villanova","BE",3.2,145,-2.8,150,7.4,111,-1.4,64,0.6,303,400,185,181,"BE","Finneran Pavilion","Wells Fargo Center (20,478)",2021,-75.3366741,40.0345318
"Grand Canyon","WAC",3.2,146,-2.5,178,6.6,149,-0.9,149,1.4,129,1100,48,171,"WAC","GCU Arena","",2021,-112.1286043,33.5097451
"Kent St.","MAC",3.2,147,-3,129,6.5,162,-0.8,179,0.7,293,1200,43,188,"MAC","Memorial Athletic & Convocation Center","",2021,-95.6080567,29.7721589
"Rhode Island","A10",3.2,148,-3.4,90,3.4,307,-1.1,123,2.5,8,100,259,149,"A10","Ryan Center","",2021,-71.5357485,41.4877684
"Georgia Tech","ACC",3.2,149,-3.3,99,5.6,211,-1,141,0.7,279,900,68,122,"ACC","McCamish Pavilion","",2021,-84.3927766,33.7808132
"Milwaukee","Horz",3.2,150,-3.4,96,4.2,287,-1.7,41,1,227,600,137,71,"Horz","UWM Panther Arena","",2021,-87.9168359,43.0422275
"Saint Joseph's","A10",3.2,151,-3.7,66,3.9,296,-2,15,0.6,312,300,210,258,"A10","Hagan Arena","",2021,-75.2350576,39.995661
"Hampton","BSth",3.2,152,-3.2,109,5.5,217,-1.5,59,1.1,215,0,308,164,"BSth","Hampton Convocation Center","",2021,-76.331,37.0199
"Toledo","MAC",3.2,153,-3.1,118,6.6,151,-1.1,117,0.3,337,600,137,158,"MAC","Savage Arena","",2021,-83.6091373,41.6602888
"East Carolina","Amer",3.2,154,-3.1,120,7.8,83,0.2,332,1.1,202,100,259,139,"Amer","Williams Arena at Minges Coliseum","",2021,-77.3669814,35.5974775
"Murray St.","OVC",3.2,155,-2.5,175,7.5,99,-1.1,119,0.8,253,500,166,122,"OVC","CFSB Center","",2021,-88.3200035,36.6226978
"Loyola Chicago","MVC",3.2,156,-3.2,109,7.2,113,-0.4,252,0.4,327,600,137,252,"MVC","Gentile Arena","",2021,-87.6590789,42.0006345
"Fresno St.","MWC",3.2,157,-3.8,56,4.8,249,-0.4,256,1.1,208,300,210,21,"MWC","Save Mart Center","",2021,-119.7385051,36.8099385
"Xavier","BE",3.2,158,-3,129,5.3,232,-1.9,21,0.6,311,600,137,88,"BE","Cintas Center","",2021,-84.4718639,39.1503722
"Georgia Southern","SB",3.2,159,-2.7,160,6.2,179,-0.4,252,2.1,20,200,232,254,"SB","Hanner Fieldhouse","",2021,-81.7792142,32.4276436
"Butler","BE",3.2,160,-2.8,152,7.2,119,-0.2,295,1.2,183,800,91,110,"BE","Hinkle Fieldhouse","",2021,-86.1673075,39.8435575
"Binghamton","AE",3.2,161,-2.6,172,6.6,151,-1.4,69,0.7,284,900,68,220,"AE","Events Center","",2021,-95.9773919,36.206646
"Providence","BE",3.2,162,-3.2,116,4.9,245,-1.1,119,1.7,70,0,308,53,"BE","Dunkin' Donuts Center","",2021,-71.4179556,41.8236281
"Illinois","B10",3.2,163,-2.4,182,6.7,144,-1.1,129,1.1,202,800,91,22,"B10","State Farm Center","",2021,-88.2358984,40.0961996
"Temple","Amer",3.2,164,-1.7,238,7.4,108,-2,16,1.7,67,100,259,89,"Amer","The Liacouras Center","",2021,-75.1585516,39.9798691
"IUPUI","Horz",3.2,165,-2.8,148,5.7,203,-1.1,129,1.1,202,700,113,178,"Horz","Indiana Farmers Coliseum","",2021,-86.1351327,39.8278349
"Charleston","CAA",3.1,166,-2.2,194,7.5,106,-1,135,1.4,119,0,308,222,"CAA","TD Arena","",2021,-79.9342186,32.7853327
"Houston","Amer",3.1,167,-2.3,191,7,126,-1.2,106,1.5,113,0,308,170,"Amer","Fertitta Center","",2021,-95.3469221,29.7246943
"Georgetown","BE",3.1,168,-3.5,81,5.8,199,-0.6,213,0.7,289,0,308,326,"BE","McDonough Arena","",2021,-77.0775268,38.9077027
"Detroit","Horz",3.1,169,-3.1,120,5,242,-1.3,92,0.8,266,600,137,135,"Horz","Calihan Hall","",2021,-83.1360608,42.4143679
"Rice","CUSA",3.1,170,-2.9,142,5.7,209,-1.5,57,0.9,246,0,308,218,"CUSA","Tudor Fieldhouse","",2021,-95.4038942,29.7152585
"USC Upstate","BSth",3.1,171,-3.1,118,5,239,-0.5,230,0.9,246,900,68,357,"BSth","Hodge Center","",2021,-74.0088503,41.9305386
"Montana","BSky",3.1,172,-2.3,187,4.4,277,-0.3,262,1.1,202,3200,20,157,"BSky","Dahlberg Arena","",2021,-113.9833389,46.8640171
"Jackson St.","SWAC",3.1,173,-2.2,196,7,130,-0.9,153,1.3,152,300,210,139,"SWAC","Williams Center","",2021,-95.9921035,36.1539421
"Green Bay","Horz",3.1,174,-3.3,103,6.4,169,0,311,0.4,326,600,137,99,"Horz","Resch Center","Kress Events Center (4,018)",2021,-88.0550778,44.4994194
