id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.isActive,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,away.venue.id,away.alternateColor,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId
401367446,s:40~l:41~e:401367446~c:401367446,2022-01-13T23:30Z,3008,True,False,True,False,2022-01-13T23:30Z,,,0,N/A,2137,Holmes Convocation Center,Boone,NC,9313,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2026,s:40~l:41~t:2026,Appalachian State,Mountaineers,APP,Appalachian State Mountaineers,Appalachian St,000000,ffcd00,True,2137,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,27,61,True,324,s:40~l:41~t:324,Coastal Carolina,Chanticleers,CCU,Coastal Carolina Chanticleers,Coast Carolina,007073,True,https://a.espncdn.com/i/teamlogos/ncaa/500/324.png,27,60,False,401367446,2022,2,4308,876447,,27,Sun Belt Conference,Sun Belt,True,
401402174,s:40~l:41~e:401402174~c:401402174,2022-01-14T00:00Z,1156,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,2177,Gallagher Center,Niagara Falls,NY,2400,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,315,s:40~l:41~t:315,Niagara,Purple Eagles,NIAG,Niagara Purple Eagles,Niagara,69207E,f0f0f0,True,2177,https://a.espncdn.com/i/teamlogos/ncaa/500/315.png,13,68,True,2099,s:40~l:41~t:2099,Canisius,Golden Griffins,CAN,Canisius Golden Griffins,Canisius,004a81,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2099.png,13,58,False,401402174,2022,2,2037,dda50f,,13,Metro Atlantic Athletic Conference,MAAC,True,
401381744,s:40~l:41~e:401381744~c:401381744,2022-01-14T00:00Z,250,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,2093,Reitz Arena,Baltimore,MD,2100,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2352,s:40~l:41~t:2352,Loyola (MD),Greyhounds,L-MD,Loyola (MD) Greyhounds,Loyola (MD),76a7a0,c9cbca,True,2093,https://a.espncdn.com/i/teamlogos/ncaa/500/2352.png,22,74,True,322,s:40~l:41~t:322,Lafayette,Leopards,LAF,Lafayette Leopards,Lafayette,790000,True,https://a.espncdn.com/i/teamlogos/ncaa/500/322.png,22,60,False,401381744,2022,2,2132,a59474,,22,Patriot League,Patriot,True,
401376561,s:40~l:41~e:401376561~c:401376561,2022-01-14T00:00Z,684,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,2208,Sojka Pavilion,Lewisburg,PA,4000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2083,s:40~l:41~t:2083,Bucknell,Bison,BUCK,Bucknell Bison,Bucknell,000060,00316e,True,2208,https://a.espncdn.com/i/teamlogos/ncaa/500/2083.png,22,64,False,2329,s:40~l:41~t:2329,Lehigh,Mountain Hawks,LEH,Lehigh Mountain Hawks,Lehigh,6c2b2a,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2329.png,22,97,True,401376561,2022,2,2141,b69e70,,22,Patriot League,Patriot,True,
401373545,s:40~l:41~e:401373545~c:401373545,2022-01-14T00:00Z,4117,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,1823,Capital One Arena,Washington,DC,20600,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,46,s:40~l:41~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,True,1823,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,58,False,2086,s:40~l:41~t:2086,Butler,Bulldogs,BUT,Butler Bulldogs,Butler,0d1361,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2086.png,4,72,True,401373545,2022,2,2032,00a3e0,,4,Big East Conference,Big East,True,
401373096,s:40~l:41~e:401373096~c:401373096,2022-01-14T00:00Z,823,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,2176,Alumni Hall (Navy),Annapolis,MD,5710,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2426,s:40~l:41~t:2426,Navy,Midshipmen,NAVY,Navy Midshipmen,Navy,131630,b6a77c,True,2176,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,22,50,False,2142,s:40~l:41~t:2142,Colgate,Raiders,COLG,Colgate Raiders,Colgate,8B011D,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2142.png,22,69,True,401373096,2022,2,2188,231f20,,22,Patriot League,Patriot,True,
401372782,s:40~l:41~e:401372782~c:401372782,2022-01-14T00:00Z,4657,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,1940,Chartway Arena,Norfolk,VA,8472,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,295,s:40~l:41~t:295,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,True,1940,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,11,83,True,2636,s:40~l:41~t:2636,UTSA,Roadrunners,UTSA,UTSA Roadrunners,UTSA,002A5C,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2636.png,11,51,False,401372782,2022,2,2115,f47321,,11,Conference USA,C-USA,True,
401372733,s:40~l:41~e:401372733~c:401372733,2022-01-14T00:00Z,3818,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,1935,Cam Henderson Center,Huntington,WV,9048,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,276,s:40~l:41~t:276,Marshall,Thundering Herd,MRSH,Marshall Thundering Herd,Marshall,00ae42,be854c,True,1935,https://a.espncdn.com/i/teamlogos/ncaa/500/276.png,11,65,False,249,s:40~l:41~t:249,North Texas,Mean Green,UNT,North Texas Mean Green,North Texas,00853D,True,https://a.espncdn.com/i/teamlogos/ncaa/500/249.png,11,69,True,401372733,2022,2,1938,000000,,11,Conference USA,C-USA,True,
401372712,s:40~l:41~e:401372712~c:401372712,2022-01-14T00:00Z,2731,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,1982,Thomas Assembly Center,Ruston,LA,8000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2348,s:40~l:41~t:2348,Louisiana Tech,Bulldogs,LT,Louisiana Tech Bulldogs,Louisiana Tech,002d65,d3313a,True,1982,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,11,80,True,2572,s:40~l:41~t:2572,Southern Miss,Golden Eagles,USM,Southern Miss Golden Eagles,Southern Miss,FFAA3C,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,11,57,False,401372712,2022,2,2009,ffc423,,11,Conference USA,C-USA,True,
401372691,s:40~l:41~e:401372691~c:401372691,2022-01-14T00:00Z,2515,True,False,True,False,2022-01-14T00:00Z,,,0,N/A,1897,Murphy Center,Murfreesboro,TN,11520,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2393,s:40~l:41~t:2393,Middle Tennessee,Blue Raiders,MTSU,Middle Tennessee Blue Raiders,MTSU,0079C2,c3c5c8,True,1897,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,11,70,True,2226,s:40~l:41~t:2226,Florida Atlantic,Owls,FAU,Florida Atlantic Owls,FAU,004B85,True,https://a.espncdn.com/i/teamlogos/ncaa/500/2226.png,11,57,False,401372691,2022,2,2110,bb2f4c,,11,Conference USA,C-USA,True,
