id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,groups.id,groups.name,groups.shortName,groups.isConference,status.type.altDetail,tournamentId
401257055,s:40~l:41~e:401257055~c:401257055,2020-11-25T20:00Z,1859,True,False,False,False,2020-11-25T20:00Z,,,0,N/A,2126,Fertitta Center,Houston,TX,7100,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,248,s:40~l:41~t:248,Houston,Cougars,HOU,Houston Cougars,Houston,C90822,231f20,True,2126,https://a.espncdn.com/i/teamlogos/ncaa/500/248.png,62,89,True,2320,s:40~l:41~t:2320,Lamar,Cardinals,LAM,Lamar Cardinals,Lamar,000000,ebebeb,True,1896,https://a.espncdn.com/i/teamlogos/ncaa/500/2320.png,25,45,False,401257055,2021,2,,,,,,
401265033,s:40~l:41~e:401265033~c:401265033,2020-11-26T00:00Z,0,True,True,False,False,2020-11-26T00:00Z,event,2K Empire Classic,0,N/A,2160,Mohegan Sun Arena,Uncasville,CT,10000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,227,s:40~l:41~t:227,Rhode Island,Rams,URI,Rhode Island Rams,Rhode Island,091f3f,5ab3e8,True,2179,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,3,88,False,9,s:40~l:41~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,True,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,94,True,401265033,2021,2,,,,,,
401254076,s:40~l:41~e:401254076~c:401254076,2020-11-26T01:00Z,2451,True,False,False,False,2020-11-26T01:00Z,,,0,N/A,2195,Frank Erwin Center,Austin,TX,16540,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,True,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,91,True,292,s:40~l:41~t:292,UT Rio Grande Valley,Vaqueros,RGV,UT Rio Grande Valley Vaqueros,UT Rio Grande,dc6000,e1732d,True,2153,https://a.espncdn.com/i/teamlogos/ncaa/500/292.png,30,55,False,401254076,2021,2,,,,,,
401262106,s:40~l:41~e:401262106~c:401262106,2020-11-26T03:30Z,0,True,False,False,False,2020-11-26T03:30Z,,,0,N/A,2111,Viejas Arena,San Diego,CA,12414,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,21,s:40~l:41~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,True,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,73,True,26,s:40~l:41~t:26,UCLA,Bruins,UCLA,UCLA Bruins,UCLA,005C8E,ffc72c,True,479,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,21,58,False,401262106,2021,2,,,,,,
401263457,s:40~l:41~e:401263457~c:401263457,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,317,Value City Arena,Columbus,OH,19049,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,194,s:40~l:41~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,de3129,666666,True,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,94,True,2287,s:40~l:41~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois State,CE1126,ffe716,True,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,67,False,401263457,2021,2,,,,,,
401259563,s:40~l:41~e:401259563~c:401259563,2020-11-26T00:00Z,0,True,False,False,False,2020-11-26T00:00Z,,,0,N/A,2008,Jersey Mike’s Arena,Piscataway,NJ,8000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,164,s:40~l:41~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,ffffff,True,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,7,86,True,2529,s:40~l:41~t:2529,Sacred Heart,Pioneers,SHU,Sacred Heart Pioneers,Sacred Heart,a40012,c29472,True,1916,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,19,63,False,401259563,2021,2,,,,,,
401262142,s:40~l:41~e:401262142~c:401262142,2020-11-25T21:00Z,0,True,False,False,False,2020-11-25T21:00Z,,,0,N/A,1986,Crisler Center,Ann Arbor,MI,12707,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,True,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,96,True,189,s:40~l:41~t:189,Bowling Green,Falcons,BGSU,Bowling Green Falcons,Bowling Green,2b1000,492000,True,2220,https://a.espncdn.com/i/teamlogos/ncaa/500/189.png,14,82,False,401262142,2021,2,,,,,,
401258999,s:40~l:41~e:401258999~c:401258999,2020-11-25T16:00Z,50,True,True,False,False,2020-11-25T16:00Z,event,Gulf Coast Showcase,9,QRR,1024,Hertz Arena,Estero,FL,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2193,s:40~l:41~t:2193,East Tennessee State,Buccaneers,ETSU,East Tennessee State Buccaneers,ETSU,002d61,ffc423,True,4935,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,24,47,False,2000,s:40~l:41~t:2000,Abilene Christian,Wildcats,ACU,Abilene Christian Wildcats,Abilene Chrstn,4e2683,ebebeb,True,7241,https://a.espncdn.com/i/teamlogos/ncaa/500/2000.png,25,70,True,401258999,2021,2,,,,,,
401264119,s:40~l:41~e:401264119~c:401264119,2020-11-25T16:30Z,0,True,False,False,False,2020-11-25T16:30Z,,,0,N/A,2041,Yuengling Center,Tampa,FL,10411,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,58,s:40~l:41~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20,True,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,62,94,True,3244,s:40~l:41~t:3244,Florida College,Falcons,FLCO,Florida College Falcons,Florida Coll,,,False,,,,84,False,401264119,2021,2,,,,,,
401264600,s:40~l:41~e:401264600~c:401264600,2020-11-25T17:00Z,0,True,False,False,False,2020-11-25T17:00Z,,,1,STD,7107,Atlantic Union Bank Center,Harrisonburg,VA,8500,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,256,s:40~l:41~t:256,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,True,7107,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,10,89,True,2336,s:40~l:41~t:2336,Limestone,Saints,LIM,Limestone Saints,Limestone,000000,,False,,,,55,False,401264600,2021,2,,,,,,
401262254,s:40~l:41~e:401262254~c:401262254,2020-11-25T17:00Z,0,True,False,False,False,2020-11-25T17:00Z,,,0,N/A,4569,Pinnacle Bank Arena,Lincoln,NE,15000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,158,s:40~l:41~t:158,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,F20017,f5f1e7,True,4569,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,7,102,True,2377,s:40~l:41~t:2377,McNeese,Cowboys,MCNS,McNeese Cowboys,McNeese,00529C,,True,6007,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,25,55,False,401262254,2021,2,,,,,,
401259772,s:40~l:41~e:401259772~c:401259772,2020-11-25T17:00Z,87,True,False,False,False,2020-11-25T17:00Z,event,Veterans Classic,0,N/A,2176,Alumni Hall (Navy),Annapolis,MD,5710,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2426,s:40~l:41~t:2426,Navy,Midshipmen,NAVY,Navy Midshipmen,Navy,131630,b6a77c,True,2176,https://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,22,78,True,45,s:40~l:41~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,True,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,71,False,401259772,2021,2,,,,,,
401259540,s:40~l:41~e:401259540~c:401259540,2020-11-25T17:00Z,250,True,False,False,False,2020-11-25T17:00Z,,,0,N/A,2119,Cassell Coliseum,Blacksburg,VA,8925,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,259,s:40~l:41~t:259,Virginia Tech,Hokies,VT,Virginia Tech Hokies,Virginia Tech,74232D,c2c1ba,True,2119,https://a.espncdn.com/i/teamlogos/ncaa/500/259.png,2,77,True,2515,s:40~l:41~t:2515,Radford,Highlanders,RAD,Radford Highlanders,Radford,BC1515,c2c3c0,True,1901,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,6,62,False,401259540,2021,2,,,,,,
401257607,s:40~l:41~e:401257607~c:401257607,2020-11-25T17:00Z,50,True,False,False,False,2020-11-25T17:00Z,,,0,N/A,2021,Hill Field House,Baltimore,MD,4250,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2415,s:40~l:41~t:2415,Morgan State,Bears,MORG,Morgan State Bears,Morgan State,014786,f47937,True,2021,https://a.espncdn.com/i/teamlogos/ncaa/500/2415.png,16,55,False,116,s:40~l:41~t:116,Mount St. Mary's,Mountaineers,MSM,Mount St. Mary's Mountaineers,Mount St Mary,005596,ebebeb,True,2175,https://a.espncdn.com/i/teamlogos/ncaa/500/116.png,19,62,True,401257607,2021,2,,,,,,
401257482,s:40~l:41~e:401257482~c:401257482,2020-11-25T17:00Z,300,True,False,False,False,2020-11-25T17:00Z,event,Xavier Invitational,0,N/A,1973,Cintas Center,Cincinnati,OH,10224,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2752,s:40~l:41~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,True,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,4,101,True,2473,s:40~l:41~t:2473,Oakland,Golden Grizzlies,OAK,Oakland Golden Grizzlies,Oakland,04091c,bc955c,True,2178,https://a.espncdn.com/i/teamlogos/ncaa/500/2473.png,45,49,False,401257482,2021,2,,,,,,
401264409,s:40~l:41~e:401264409~c:401264409,2020-11-25T18:00Z,0,True,False,False,False,2020-11-25T18:00Z,,,0,N/A,1936,Lundholm Gymnasium,Durham,NH,2500,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,160,s:40~l:41~t:160,New Hampshire,Wildcats,UNH,New Hampshire Wildcats,New Hampshire,004990,c3c4c6,True,1936,https://a.espncdn.com/i/teamlogos/ncaa/500/160.png,1,93,True,6304,s:40~l:41~t:6304,Keene State,Owls,KST,Keene State Owls,Keene State,,,False,,,,54,False,401264409,2021,2,,,,,,
401262869,s:40~l:41~e:401262869~c:401262869,2020-11-25T18:00Z,202,True,False,False,False,2020-11-25T18:00Z,,,0,N/A,2089,W.S. Hanner Fieldhouse,Statesboro,GA,3897,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,290,s:40~l:41~t:290,Georgia Southern,Eagles,GASO,Georgia Southern Eagles,Georgia So,003775,f0f0f0,True,2089,https://a.espncdn.com/i/teamlogos/ncaa/500/290.png,27,97,True,107730,s:40~l:41~t:107730,Florida National,Conquistadors,FLN,Florida National Conquistadors,Florida Natl,,,False,,,,65,False,401262869,2021,2,,,,,,
401262144,s:40~l:41~e:401262144~c:401262144,2020-11-25T18:00Z,0,True,False,False,False,2020-11-25T18:00Z,,,0,N/A,2134,Millett Hall,Oxford,OH,6400,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,193,s:40~l:41~t:193,Miami (OH),Redhawks,M-OH,Miami (OH) Redhawks,Miami (OH),a4000c,f0f0f0,True,2134,https://a.espncdn.com/i/teamlogos/ncaa/500/193.png,14,81,True,155,s:40~l:41~t:155,North Dakota,Fighting Hawks,UND,North Dakota Fighting Hawks,North Dakota,00A26B,c2c3c0,True,1950,https://a.espncdn.com/i/teamlogos/ncaa/500/155.png,49,67,False,401262144,2021,2,,,,,,
401258998,s:40~l:41~e:401258998~c:401258998,2020-11-25T18:00Z,1000,True,False,False,False,2020-11-25T18:00Z,,,0,N/A,1974,Hawkins Arena,Macon,GA,3200,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2382,s:40~l:41~t:2382,Mercer,Bears,MER,Mercer Bears,Mercer,ff7f29,080808,True,1974,https://a.espncdn.com/i/teamlogos/ncaa/500/2382.png,24,79,True,2455,s:40~l:41~t:2455,North Georgia,Saints,NGA,North Georgia Saints,N Georgia,,,False,,,,48,False,401258998,2021,2,,,,,,
401257661,s:40~l:41~e:401257661~c:401257661,2020-11-25T18:00Z,0,True,True,False,False,2020-11-25T18:00Z,event,Wade Houston Tipoff Classic,0,N/A,2030,KFC Yum! Center,Louisville,KY,22000,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2031,s:40~l:41~t:2031,Little Rock,Trojans,UALR,Little Rock Trojans,Little Rock,AD0000,898d8f,True,2180,https://a.espncdn.com/i/teamlogos/ncaa/500/2031.png,27,71,True,2504,s:40~l:41~t:2504,Prairie View A&M,Panthers,PV,Prairie View A&M Panthers,Prairie View,4d0960,,True,2027,https://a.espncdn.com/i/teamlogos/ncaa/500/2504.png,26,66,False,401257661,2021,2,,,,,,
401265653,s:40~l:41~e:401265653~c:401265653,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,2146,McKenzie Arena,Chattanooga,TN,10996,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,236,s:40~l:41~t:236,Chattanooga,Mocs,UTC,Chattanooga Mocs,Chattanooga,00386b,dca71d,True,2146,https://a.espncdn.com/i/teamlogos/ncaa/500/236.png,24,99,True,2322,s:40~l:41~t:2322,Lander,Bearcats,LAN,Lander Bearcats,Lander,,,False,,,,63,False,401265653,2021,2,,,,,,
401262395,s:40~l:41~e:401262395~c:401262395,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,2070,G.B. Hodge Center,Spartanburg,SC,833,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2908,s:40~l:41~t:2908,South Carolina Upstate,Spartans,SCUP,South Carolina Upstate Spartans,SC Upstate,008545,000000,True,2070,https://a.espncdn.com/i/teamlogos/ncaa/500/2908.png,6,72,False,2576,s:40~l:41~t:2576,Southern Wesleyan,Warriors,SW,Southern Wesleyan Warriors,S Wesleyan,,,False,,,,82,True,401262395,2021,2,,,,,,
401259878,s:40~l:41~e:401259878~c:401259878,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,2077,S-H-M Memorial Center,Orangeburg,SC,3200,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2569,s:40~l:41~t:2569,South Carolina State,Bulldogs,SCST,South Carolina State Bulldogs,SC State,7d1315,104897,True,2077,https://a.espncdn.com/i/teamlogos/ncaa/500/2569.png,16,61,False,2026,s:40~l:41~t:2026,Appalachian State,Mountaineers,APP,Appalachian State Mountaineers,Appalachian St,000000,ffcd00,True,2137,https://a.espncdn.com/i/teamlogos/ncaa/500/2026.png,27,81,True,401259878,2021,2,,,,,,
401259300,s:40~l:41~e:401259300~c:401259300,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,2133,XFINITY Center,College Park,MD,17950,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,120,s:40~l:41~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,True,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,7,85,True,295,s:40~l:41~t:295,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,True,1940,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,11,67,False,401259300,2021,2,,,,,,
401258910,s:40~l:41~e:401258910~c:401258910,2020-11-25T19:00Z,50,True,True,False,False,2020-11-25T19:00Z,event,Gulf Coast Showcase,0,N/A,1024,Hertz Arena,Estero,FL,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2046,s:40~l:41~t:2046,Austin Peay,Governors,APSU,Austin Peay Governors,Austin Peay,8e0b0b,,True,5428,https://a.espncdn.com/i/teamlogos/ncaa/500/2046.png,20,72,True,2437,s:40~l:41~t:2437,Omaha,Mavericks,OMA,Omaha Mavericks,Omaha,e3193e,,True,5059,https://a.espncdn.com/i/teamlogos/ncaa/500/2437.png,49,66,False,401258910,2021,2,,,,,,
401255066,s:40~l:41~e:401255066~c:401255066,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,,,0,N/A,4691,Alumni Hall (RI),Providence,RI,2620,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2507,s:40~l:41~t:2507,Providence,Friars,PROV,Providence Friars,Providence,000000,7d8082,True,146,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png,4,97,True,2217,s:40~l:41~t:2217,Fairfield,Stags,FAIR,Fairfield Stags,Fairfield,000000,ebebeb,True,1259,https://a.espncdn.com/i/teamlogos/ncaa/500/2217.png,13,56,False,401255066,2021,2,,,,,,
401255047,s:40~l:41~e:401255047~c:401255047,2020-11-25T19:00Z,0,True,True,False,False,2020-11-25T19:00Z,event,Bad Boy Mowers Crossover Classic,0,N/A,4796,Sanford Pentagon,Sioux Falls,SD,0,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,003087,898d8d,True,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,62,73,True,2608,s:40~l:41~t:2608,Saint Mary's,Gaels,SMC,Saint Mary's Gaels,Saint Mary's,003768,d02f35,True,488,https://a.espncdn.com/i/teamlogos/ncaa/500/2608.png,29,56,False,401255047,2021,2,,,,,,
401254049,s:40~l:41~e:401254049~c:401254049,2020-11-25T19:00Z,0,True,False,False,False,2020-11-25T19:00Z,event,Little Apple Classic,0,N/A,2131,Bramlage Coliseum,Manhattan,KS,12528,True,0.0,0:00,2,3,STATUS_FINAL,post,True,Final,Final,Final,2,2306,s:40~l:41~t:2306,Kansas State,Wildcats,KSU,Kansas State Wildcats,Kansas State,633194,e7d2ad,True,2131,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,8,70,False,2181,s:40~l:41~t:2181,Drake,Bulldogs,DRKE,Drake Bulldogs,Drake,004477,c0c0c0,True,2075,https://a.espncdn.com/i/teamlogos/ncaa/500/2181.png,18,80,True,401254049,2021,2,,,,,,
