id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,notes,startDate,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,game_id,season_type,season,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,PBP
250710333,s:40~l:41~e:250710333~c:250710333,2005-03-12T18:00Z,0,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SEC TOURNAMENT'}]",2005-03-12T18:00Z,0,N/A,3495,Georgia Dome,Atlanta,GA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,333,s:40~l:41~t:333,Alabama,Crimson Tide,ALA,Alabama Crimson Tide,Alabama,690014,f1f2f3,TRUE,1925,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,23,57,s:40~l:41~t:57,Florida,Gators,FLA,Florida Gators,Florida,0021A5,0021a5,TRUE,360,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,23,250710333,2,2005,"",23,Southeastern Conference,SEC,TRUE,TRUE
250712169,s:40~l:41~e:250712169~c:250712169,2005-03-12T17:00Z,3065,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'MEAC CHAMPIONSHIP'}]",2005-03-12T17:00Z,0,N/A,45,Richmond Coliseum,Richmond,VA,12500,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2169,s:40~l:41~t:2169,Delaware State,Hornets,DSU,Delaware State Hornets,Delaware State,FF3630,009cdd,TRUE,1957,https://a.espncdn.com/i/teamlogos/ncaa/500/2169.png,16,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,"",TRUE,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,16,250712169,2,2005,"",16,Mid-Eastern Athletic Conference,MEAC,TRUE,TRUE
250710235,s:40~l:41~e:250710235~c:250710235,2005-03-12T16:35Z,10576,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'CONF USA CHAMP'}]",2005-03-12T16:35Z,1,STD,1392,FedExForum,Memphis,TN,18400,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,235,s:40~l:41~t:235,Memphis,Tigers,MEM,Memphis Tigers,Memphis,003087,898d8d,TRUE,1392,https://a.espncdn.com/i/teamlogos/ncaa/500/235.png,11,97,s:40~l:41~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,ad000a,cccccc,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,11,250710235,2,2005,"",11,Conference USA,C-USA,TRUE,TRUE
250710261,s:40~l:41~e:250710261~c:250710261,2005-03-12T16:30Z,3266,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'AMERICA EAST CHAMP'}]",2005-03-12T16:30Z,0,N/A,2118,Patrick Gymnasium,Burlington,VT,3266,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,261,s:40~l:41~t:261,Vermont,Catamounts,UVM,Vermont Catamounts,Vermont,013C24,ffc72c,TRUE,2118,https://a.espncdn.com/i/teamlogos/ncaa/500/261.png,1,111,s:40~l:41~t:111,Northeastern,Huskies,NE,Northeastern Huskies,Northeastern,CC0001,c2c3c0,TRUE,1219,https://a.espncdn.com/i/teamlogos/ncaa/500/111.png,1,250710261,2,2005,"",1,America East Conference,Am. East,TRUE,TRUE
250700167,s:40~l:41~e:250700167~c:250700167,2005-03-12T05:00Z,9415,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'MOUNTAIN WEST TR'}]",2005-03-12T05:00Z,0,N/A,892,Pepsi Center (CO),Denver,CO,19520,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,167,s:40~l:41~t:167,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,TRUE,2024,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,44,21,s:40~l:41~t:21,San Diego State,Aztecs,SDSU,San Diego State Aztecs,San Diego State,BF2C37,a8996e,TRUE,2111,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,44,250700167,2,2005,"",44,Mountain West Conference,Mountain West,TRUE,TRUE
250700264,s:40~l:41~e:250700264~c:250700264,2005-03-12T04:45Z,15068,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'PAC 10 CONF TR'}]",2005-03-12T04:45Z,0,N/A,1841,STAPLES Center,Los Angeles,CA,19068,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,264,s:40~l:41~t:264,Washington,Huskies,WASH,Washington Huskies,Washington,2B2F64,e8e3d3,TRUE,782,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,21,24,s:40~l:41~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,A80532,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,250700264,2,2005,"",21,Pac-12 Conference,Pac-12,TRUE,TRUE
250700328,s:40~l:41~e:250700328~c:250700328,2005-03-12T04:30Z,5563,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG WEST TOURNAMENT'}]",2005-03-12T04:30Z,0,N/A,2560,Anaheim Convention Center,Anaheim,CA,0,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,328,s:40~l:41~t:328,Utah State,Aggies,USU,Utah State Aggies,Utah State,003263,949ca1,TRUE,2128,https://a.espncdn.com/i/teamlogos/ncaa/500/328.png,9,2239,s:40~l:41~t:2239,CSU Fullerton,Titans,CSUF,CSU Fullerton Titans,CSU Fullerton,003767,ff8300,TRUE,2003,https://a.espncdn.com/i/teamlogos/ncaa/500/2239.png,9,250700328,2,2005,"",9,Big West Conference,Big West,TRUE,TRUE
250700278,s:40~l:41~e:250700278~c:250700278,2005-03-12T04:30Z,3547,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'WAC TOURNAMENT'}]",2005-03-12T04:30Z,0,N/A,461,Lawlor Events Center,Reno,NV,11536,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,278,s:40~l:41~t:278,Fresno State,Bulldogs,FRES,Fresno State Bulldogs,Fresno State,c41230,231f20,TRUE,914,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,30,68,s:40~l:41~t:68,Boise State,Broncos,BSU,Boise State Broncos,Boise State,09347A,d8d9da,TRUE,2028,https://a.espncdn.com/i/teamlogos/ncaa/500/68.png,30,250700278,2,2005,"",30,Western Athletic Conference,WAC,TRUE,TRUE
250700099,s:40~l:41~e:250700099~c:250700099,2005-03-12T02:45Z,22024,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'SEC TOURNAMENT'}]",2005-03-12T02:45Z,0,N/A,3495,Georgia Dome,Atlanta,GA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,99,s:40~l:41~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,fdd023,2b0d57,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,2,s:40~l:41~t:2,Auburn,Tigers,AUB,Auburn Tigers,Auburn,03244d,f1f2f3,TRUE,1953,https://a.espncdn.com/i/teamlogos/ncaa/500/2.png,23,250700099,2,2005,"",23,Southeastern Conference,SEC,TRUE,TRUE
250700197,s:40~l:41~e:250700197~c:250700197,2005-03-12T02:20Z,18268,TRUE,FALSE,TRUE,FALSE,"[{'type': 'event', 'headline': 'BIG TWELVE TR'}]",2005-03-12T02:20Z,0,N/A,,"","","",,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,197,s:40~l:41~t:197,Oklahoma State,Cowboys,OKST,Oklahoma State Cowboys,Oklahoma State,FF6500,ff9900,TRUE,1992,https://a.espncdn.com/i/teamlogos/ncaa/500/197.png,8,38,s:40~l:41~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,TRUE,2207,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,8,250700197,2,2005,"",8,Big 12 Conference,Big 12,TRUE,TRUE
