id,uid,date,attendance,timeValid,neutralSite,conferenceCompetition,recent,startDate,notes_type,notes_headline,type.id,type.abbreviation,venue.id,venue.fullName,venue.address.city,venue.address.state,venue.capacity,venue.indoor,status.clock,status.displayClock,status.period,status.type.id,status.type.name,status.type.state,status.type.completed,status.type.description,status.type.detail,status.type.shortDetail,format.regulation.periods,home.id,home.uid,home.location,home.name,home.abbreviation,home.displayName,home.shortDisplayName,home.color,home.alternateColor,home.isActive,home.venue.id,home.logo,home.conferenceId,home.score,home.winner,away.id,away.uid,away.location,away.name,away.abbreviation,away.displayName,away.shortDisplayName,away.color,away.alternateColor,away.isActive,away.venue.id,away.logo,away.conferenceId,away.score,away.winner,game_id,season,season_type,status.type.altDetail,groups.id,groups.name,groups.shortName,groups.isConference,tournamentId,PBP,team_box,player_box
401125273,s:40~l:41~e:401125273~c:401125273,2019-03-29T23:00Z,1822,TRUE,FALSE,FALSE,FALSE,2019-03-29T23:00Z,event,CIT - QUARTERFINAL,35,Semifinal Bowl,1946,Kress Events Center,Green Bay,WI,4018,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2739,s:40~l:41~t:2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,ffffff,TRUE,522,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,45,80,TRUE,2934,s:40~l:41~t:2934,CSU Bakersfield,Roadrunners,CSUB,CSU Bakersfield Roadrunners,CSU Bakersfield,003BAB,,TRUE,2112,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,30,65,FALSE,401125273,2019,3,,,,,,35,FALSE,FALSE,FALSE
401123381,s:40~l:41~e:401123381~c:401123381,2019-03-29T02:34Z,19831,TRUE,TRUE,FALSE,FALSE,2019-03-29T02:34Z,event,MEN'S BASKETBALL CHAMPIONSHIP - SOUTH REGION - SWEET 16,,,2030,KFC Yum! Center,Louisville,KY,22000,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,258,s:40~l:41~t:258,Virginia,Cavaliers,UVA,Virginia Cavaliers,Virginia,f84c1e,ffffff,TRUE,1927,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,2,53,TRUE,2483,s:40~l:41~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,TRUE,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,49,FALSE,401123381,2019,3,,,,,,22,FALSE,FALSE,FALSE
401123385,s:40~l:41~e:401123385~c:401123385,2019-03-29T01:58Z,16145,TRUE,TRUE,FALSE,FALSE,2019-03-29T01:58Z,event,MEN'S BASKETBALL CHAMPIONSHIP - WEST REGION - SWEET 16,,,1842,Honda Center,Anaheim,CA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,130,s:40~l:41~t:130,Michigan,Wolverines,MICH,Michigan Wolverines,Michigan,00274c,00274c,TRUE,1986,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,7,44,FALSE,2641,s:40~l:41~t:2641,Texas Tech,Red Raiders,TTU,Texas Tech Red Raiders,Texas Tech,C80025,231f20,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,63,TRUE,401123385,2019,3,,,,,,22,FALSE,FALSE,FALSE
401124960,s:40~l:41~e:401124960~c:401124960,2019-03-29T00:00Z,6004,TRUE,FALSE,FALSE,FALSE,2019-03-29T00:00Z,event,CIT - QUARTERFINAL,35,Semifinal Bowl,2061,Fant-Ewing Coliseum,Monroe,LA,7085,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/3OT,Final/3OT,2,2433,s:40~l:41~t:2433,UL Monroe,Warhawks,ULM,UL Monroe Warhawks,UL Monroe,231F20,b18445,TRUE,2061,https://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,27,102,FALSE,2640,s:40~l:41~t:2640,Texas Southern,Tigers,TXSO,Texas Southern Tigers,Texas Southern,6A0403,ebebeb,TRUE,2165,https://a.espncdn.com/i/teamlogos/ncaa/500/2640.png,26,108,TRUE,401124960,2019,3,3OT,,,,,35,FALSE,FALSE,FALSE
401123382,s:40~l:41~e:401123382~c:401123382,2019-03-28T23:29Z,0,TRUE,TRUE,FALSE,FALSE,2019-03-28T23:29Z,event,MEN'S BASKETBALL CHAMPIONSHIP - SOUTH REGION - SWEET 16,,,2030,KFC Yum! Center,Louisville,KY,22000,TRUE,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,2633,s:40~l:41~t:2633,Tennessee,Volunteers,TENN,Tennessee Volunteers,Tennessee,EE9627,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633.png,23,94,FALSE,2509,s:40~l:41~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,B89D29,a4a9ad,TRUE,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,99,TRUE,401123382,2019,3,OT,,,,,22,FALSE,FALSE,FALSE
401123386,s:40~l:41~e:401123386~c:401123386,2019-03-28T23:09Z,0,TRUE,TRUE,FALSE,FALSE,2019-03-28T23:09Z,event,MEN'S BASKETBALL CHAMPIONSHIP - WEST REGION - SWEET 16,,,1842,Honda Center,Anaheim,CA,0,FALSE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2250,s:40~l:41~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,002967,cfd4d8,TRUE,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,72,TRUE,52,s:40~l:41~t:52,Florida State,Seminoles,FSU,Florida State Seminoles,Florida State,782F40,ceb888,TRUE,1952,https://a.espncdn.com/i/teamlogos/ncaa/500/52.png,2,58,FALSE,401123386,2019,3,,,,,,22,FALSE,FALSE,FALSE
401125175,s:40~l:41~e:401125175~c:401125175,2019-03-28T23:00Z,1658,TRUE,FALSE,FALSE,FALSE,2019-03-28T23:00Z,event,ROMAN CBI TOURNAMENT - SEMIFINAL,11,RD128,2041,Yuengling Center,Tampa,FL,10411,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,58,s:40~l:41~t:58,South Florida,Bulls,USF,South Florida Bulls,South Florida,004A36,231f20,TRUE,2041,https://a.espncdn.com/i/teamlogos/ncaa/500/58.png,62,56,TRUE,2351,s:40~l:41~t:2351,Loyola Marymount,Lions,LMU,Loyola Marymount Lions,LMU,880029,00345b,TRUE,2173,https://a.espncdn.com/i/teamlogos/ncaa/500/2351.png,29,47,FALSE,401125175,2019,3,,,,,,11,FALSE,FALSE,FALSE
401124959,s:40~l:41~e:401124959~c:401124959,2019-03-28T23:00Z,776,TRUE,FALSE,FALSE,FALSE,2019-03-28T23:00Z,event,CIT - QUARTERFINAL,35,Semifinal Bowl,5420,NJIT Wellness and Events Center,Newark,NJ,3500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2885,s:40~l:41~t:2885,NJIT,Highlanders,NJIT,NJIT Highlanders,NJIT,EE3024,df3e2e,TRUE,5420,https://a.espncdn.com/i/teamlogos/ncaa/500/2885.png,46,70,FALSE,2261,s:40~l:41~t:2261,Hampton,Pirates,HAMP,Hampton Pirates,Hampton,0067AC,,TRUE,2017,https://a.espncdn.com/i/teamlogos/ncaa/500/2261.png,6,82,TRUE,401124959,2019,3,,,,,,35,FALSE,FALSE,FALSE
401123699,s:40~l:41~e:401123699~c:401123699,2019-03-28T01:00Z,5500,TRUE,FALSE,FALSE,FALSE,2019-03-28T01:00Z,event,NIT - QUARTERFINAL,,,2139,Reynolds Coliseum,Raleigh,NC,5500,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,152,s:40~l:41~t:152,NC State,Wolfpack,NCST,NC State Wolfpack,NC State,EF1216,231f20,TRUE,999,https://a.espncdn.com/i/teamlogos/ncaa/500/152.png,2,93,FALSE,288,s:40~l:41~t:288,Lipscomb,Bisons,LIP,Lipscomb Bisons,Lipscomb,20366C,f6b734,TRUE,2038,https://a.espncdn.com/i/teamlogos/ncaa/500/288.png,46,94,TRUE,401123699,2019,3,,,,,,21,TRUE,TRUE,TRUE
401123698,s:40~l:41~e:401123698~c:401123698,2019-03-28T01:00Z,3982,TRUE,FALSE,FALSE,FALSE,2019-03-28T01:00Z,event,NIT - QUARTERFINAL,,,2195,Frank Erwin Center,Austin,TX,16540,TRUE,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,251,s:40~l:41~t:251,Texas,Longhorns,TEX,Texas Longhorns,Texas,EE7524,f0f0f0,TRUE,2195,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,8,68,TRUE,38,s:40~l:41~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,d1c57e,ffd200,TRUE,2207,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,21,55,FALSE,401123698,2019,3,,,,,,21,TRUE,TRUE,TRUE
