Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Significant Contributor,4,Kamryn Williams,6-5,197,Sr,10,10,24.7,99.1,23.6,19.2,45,50.8,11.7,19.5,19.5,23.2,4.5,3.6,3.9,4.4,47.1,24,33,0.727,30,56,0.536,1,14,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2015,11569
Significant Contributor,41,Zach Moer,6-11,225,Jr,28,NA,20.1,85.7,21.6,19.6,50.9,53,8.6,8.2,8.2,31.2,8.5,1.7,8.4,2.8,19,8,11,0.727,25,50,0.5,3,8,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2015,18652
Role Player,0,Marek Olesinski,6-9,220,Sr,29,29,76.2,120.5,17,18.9,60.8,62.4,5.8,12.3,12.3,13.9,1.3,1.6,2,2.9,25.9,39,55,0.709,63,100,0.63,44,112,0.393,472,84,NA,NA,39,55,NA,NA,NA,343,NA,NA,149,NA,NA,NA,27,272,National Rank,Air Force,2015,14225
Role Player,20,Trevor Lyons,6-3,190,Fr,29,26,71.2,108.8,16.6,17.1,50,53.6,1.9,15,15.4,13.8,0,3.2,2.6,3.4,40.8,50,73,0.685,55,124,0.444,23,55,0.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,318,NA,153,NA,NA,NA,NA,NA,NA,National Rank,Air Force,2015,27401
Role Player,5,Zach Kocur,6-3,200,So,28,15,57.3,120.5,18.7,20.4,65.7,65.8,3.4,19,19.2,17.3,0.2,1.3,4.1,2.9,22.1,24,38,0.632,32,57,0.561,54,115,0.47,NA,88,NA,NA,NA,NA,NA,NA,493,NA,NA,NA,NA,NA,NA,NA,NA,12,National Rank,Air Force,2015,18643
Role Player,21,DeLovell Earls,6-6,225,Sr,20,4,19.1,95.8,18,13.2,41.9,46,6.7,26,26,26.2,1.3,3,7.4,3.2,43.2,10,16,0.625,14,30,0.467,1,7,0.143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2015,11561
Limited Role,32,Ryan Manning,6-6,190,Fr,26,1,17.2,93.8,14.6,15.4,37.2,40.7,8.7,6.6,6.6,13.5,1.4,0.3,3.8,2.6,28.2,7,11,0.636,7,16,0.438,5,23,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2015,27405
Benchwarmer,2,C.J. Siples,6-3,170,Fr,17,1,8.2,89.3,16.9,11.5,53.6,52,1.4,18.2,18.2,28.3,4.5,2.7,4.6,4,78.6,5,11,0.455,6,11,0.545,1,3,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Air Force,2015,27397
Major Contributor,34,Pat Forsythe,6-11,245,Jr,32,28,52.2,106.2,24.5,23,55,56.3,10.5,11.2,11.2,18.1,6.4,1.4,4.4,4.9,45.7,62,105,0.59,125,225,0.556,1,5,0.2,NA,NA,391,NA,NA,NA,225,NA,NA,NA,124,NA,NA,334,NA,NA,261,NA,National Rank,Akron,2015,14231
Major Contributor,4,Deji Ibitayo,6-4,200,Sr,33,3,47.3,113.9,25.5,25,53.3,58.3,6.4,11.8,11.8,14.7,2.4,2.8,4.5,5.8,52.9,89,120,0.742,64,128,0.5,38,99,0.384,NA,254,298,439,NA,NA,NA,NA,NA,45,NA,317,NA,99,NA,NA,NA,354,National Rank,Akron,2015,14233
Significant Contributor,2,Kwan Cheatham,6-9,230,So,34,29,59.3,94.5,21.9,23.6,45.7,47.3,5.5,14.1,14.1,20.2,5.2,1,4,2.7,16.8,29,45,0.644,49,119,0.412,49,149,0.329,NA,NA,NA,NA,NA,NA,NA,257,NA,NA,196,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2015,18566
Significant Contributor,14,Noah Robotham,6-1,165,Fr,25,24,56.8,101.3,20.6,19.9,48.1,51.7,1.9,23,23.2,22.1,0.1,2.3,1.9,3.1,27.8,45,60,0.75,44,108,0.407,40,108,0.37,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,104,NA,NA,NA,NA,491,National Rank,Akron,2015,27412
Significant Contributor,55,Antino Jackson,5-11,160,Fr,34,10,42.6,92,23.8,25,44.6,47.2,1.7,20,20.5,22.3,0.2,2.1,3.9,3,18.1,27,37,0.73,34,85,0.4,38,119,0.319,NA,NA,473,441,NA,NA,NA,NA,427,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2015,27414
Significant Contributor,11,Aaron Jackson,6-8,215,Fr,29,1,20,88.8,20.2,22.7,44.8,45.8,5.7,3.9,3.9,19.1,0.4,1.8,5.1,2.8,19.5,9,17,0.529,12,32,0.375,18,55,0.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2015,25021
Significant Contributor,5,B.J. Gladden,6-6,214,Fr,27,10,18.6,82.3,21.9,17.4,40.3,44.1,8.3,9.7,9.7,26.7,1.7,1.5,4.2,4.5,54.8,19,34,0.559,19,49,0.388,4,13,0.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2015,27408
Role Player,23,Isaiah Johnson,6-10,290,So,33,9,44.5,95.2,19.7,15,48.4,50.7,9,10.7,10.7,22.8,6.1,1.4,4,4.7,70.3,49,90,0.544,62,128,0.484,0,0,0,NA,NA,NA,NA,NA,NA,386,48,NA,NA,14,NA,NA,419,NA,NA,NA,NA,National Rank,Akron,2015,18570
Limited Role,3,Nyles Evans,5-11,160,Sr,34,33,48.2,101.8,15.2,16.2,46.3,48.2,2.7,17,17,18.6,0,2.9,3.9,2,15.3,16,23,0.696,26,60,0.433,29,90,0.322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA,NA,NA,NA,NA,National Rank,Akron,2015,18567
Limited Role,21,Reggie McAdams,6-7,208,Jr,34,10,46.3,130,15.2,20.9,58.9,60.2,3.5,7.3,7.3,5.2,2.4,1.8,2.5,2,12.4,18,23,0.783,16,30,0.533,62,155,0.4,NA,8,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,433,NA,NA,NA,NA,224,National Rank,Akron,2015,14236
Nearly Invisible,15,Jake Kretzer,6-7,216,Jr,33,12,58,122,11.8,12.7,54.3,58.3,5.6,9,9,14.6,0.3,2.2,3.8,1.9,22.7,29,32,0.906,12,24,0.5,43,117,0.368,NA,56,NA,NA,NA,NA,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Akron,2015,14235
Benchwarmer,10,Malcolm Walters,6-2,160,Fr,13,NA,3.7,41.5,23.1,14.2,10,18.1,2.2,18,18,37.5,0,0,8,5.1,80,3,8,0.375,1,4,0.25,0,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2015,27409
Benchwarmer,1,Demetrius Treadwell,6-7,236,Sr,2,1,2.1,101,24.7,17.8,57.1,50.8,11.9,24.7,24.7,17.9,3.9,0,1.4,6.4,85.7,2,6,0.333,4,7,0.571,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Akron,2015,11578
Major Contributor,11,Shannon Hale,6-8,226,So,27,15,39.2,96.2,27.2,26.4,48.3,53,6.6,14.2,14.2,22.9,3.3,2.3,4,4.7,40.1,51,69,0.739,44,88,0.5,26,84,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2015,18658
Major Contributor,2,Ricky Tarrant,6-2,190,Jr,19,13,36.9,110.3,27.4,27.2,50,57.7,1.3,18,18.8,16.1,0,3.5,3.5,6.3,60.5,81,101,0.802,40,70,0.571,29,97,0.299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,NA,NA,NA,Alabama,2015,13863
Significant Contributor,20,Levi Randolph,6-5,208,Sr,33,33,87.9,122.2,21.9,23.2,54.1,60.7,3.4,16.8,16.8,11.7,0.6,2.6,2.4,4.8,50.4,143,171,0.836,125,229,0.546,39,110,0.355,71,54,NA,NA,28,115,NA,NA,NA,125,NA,406,404,378,237,1,325,NA,National Rank,Alabama,2015,11588
Role Player,21,Rodney Cooper,6-6,218,Sr,33,33,78.2,112.6,18.9,20.6,56.5,60,4.3,11,11.6,17.8,0.9,1.3,3.5,3.1,29.9,64,80,0.8,78,137,0.569,49,131,0.374,393,316,NA,NA,155,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,241,188,443,National Rank,Alabama,2015,11581
Role Player,3,Michael Kessens,6-9,223,So,31,10,49.7,96.6,19.7,16.8,52.5,55.4,10,8.5,8.5,26.4,2.2,1.5,5.5,3.5,43.9,40,61,0.656,70,128,0.547,2,11,0.182,NA,NA,NA,NA,NA,NA,274,226,NA,NA,NA,NA,NA,NA,NA,NA,315,NA,National Rank,Alabama,2015,15309
Role Player,32,Retin Obasohan,6-1,208,Jr,30,12,44,100.6,19.7,20.3,50.7,53,4.1,9.4,9.4,17.1,3.1,2.7,4.3,3.9,44.3,40,66,0.606,50,105,0.476,17,44,0.386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418,352,NA,NA,NA,NA,NA,NA,National Rank,Alabama,2015,14241
Role Player,5,Justin Coleman,5-10,160,Fr,33,8,43.9,83.5,19.1,20.1,32.7,39,1.7,16,16.4,19.4,0,1.7,2.2,3.3,33.3,37,49,0.755,12,44,0.273,24,103,0.233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,National Rank,Alabama,2015,25028
Limited Role,10,Jimmie Taylor,6-10,240,So,33,33,58.3,102.2,14.6,11.6,59.3,56.9,8.2,4.7,4.7,20.8,8.9,0.7,4.8,3.7,77.9,42,88,0.477,67,113,0.593,0,0,0,NA,NA,NA,NA,NA,NA,493,486,NA,NA,5,NA,NA,NA,NA,NA,11,NA,National Rank,Alabama,2015,18657
Limited Role,1,Riley Norris,6-7,207,Fr,33,7,51.7,95.6,15.2,16,44.9,47,7,6.7,6.7,18.2,1.1,1.9,4.4,2.6,29.7,24,41,0.585,26,65,0.4,24,73,0.329,NA,NA,NA,NA,NA,NA,NA,481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama,2015,27415
Benchwarmer,35,Dakota Slaughter,6-6,220,Sr,14,1,5.9,141.4,10.8,15.4,80,80,3.3,2.9,2.9,15,0,0.8,3.6,1.1,0,0,0,0,3,3,0.999,6,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2015,18660
Benchwarmer,23,Devin Mitchell,6-4,182,Fr,13,NA,4.6,57.8,17.1,23.6,22.2,23.8,0,9.8,9.8,12.2,2,3.1,9.2,2.1,11.1,1,2,0.5,1,6,0.167,2,12,0.167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama,2015,25029
Major Contributor,23,Ladarius Tabb,6-5,190,Jr,27,26,80.9,105.7,27.9,34.9,50.7,52.3,11,6.4,6.4,12,0.5,2.4,3.4,4.7,29.3,74,122,0.607,142,258,0.55,46,158,0.291,288,NA,122,7,NA,NA,187,NA,NA,151,NA,NA,NA,417,NA,NA,292,NA,National Rank,Alabama A&M,2015,27393
Major Contributor,12,Marcus Merriweather,6-1,185,So,25,1,21.5,83.4,24.7,25.9,37.2,43.1,2.4,14,14.1,21.9,0.4,1,3.6,4.8,42.7,24,35,0.686,14,51,0.275,11,31,0.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,27391
Significant Contributor,10,Rakiya Battle,6-0,180,So,28,28,75,96.7,20.4,12.7,40.4,51.2,3.4,43,43.1,30.3,0.5,2.7,2.5,4.7,89.3,91,125,0.728,49,113,0.434,5,27,0.185,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,344,469,408,7,NA,NA,NA,National Rank,Alabama A&M,2015,21305
Significant Contributor,35,Nick West,6-10,205,Jr,26,25,74,97.7,23.2,22.5,44.1,51.2,9.2,7.9,7.9,20.3,3.1,1,3.4,5.1,55.3,101,136,0.743,80,183,0.437,19,63,0.302,NA,NA,NA,NA,NA,NA,372,168,NA,NA,42,NA,NA,243,152,NA,NA,NA,National Rank,Alabama A&M,2015,14252
Role Player,4,Justin Colvin,6-3,190,Jr,27,7,43.5,93.8,18.6,21.2,44.5,47,2.8,14,14.2,18.4,0.6,1.8,4,3.2,30.1,25,41,0.61,23,53,0.434,25,83,0.301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2015,14247
Role Player,30,Adrian Edwards,6-4,195,So,28,4,37.4,77.3,17.9,16.9,43,43.7,9.7,2.8,2.8,28,2.2,0.9,5.2,3,35.5,15,33,0.455,40,92,0.435,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,27395
Role Player,0,Isaiah Cotton,7-0,295,Jr,23,5,18.1,70.7,18.3,11.6,48.4,44.2,10.1,5.6,5.6,33.4,6.1,1.5,10,4.6,96.8,10,30,0.333,15,31,0.484,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,25000
Role Player,11,Matthew Cotton,5-10,185,So,22,NA,12.8,55.5,16,13.3,28,30.7,2.4,11,11.6,37.9,0,2.2,2.8,2.6,36,4,9,0.444,1,11,0.091,4,14,0.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,21304
Limited Role,22,Tyler Davis,6-2,180,Jr,28,22,65.6,88.4,15.3,15.1,47.6,50.3,2.2,13,13.2,28.6,0.1,2.3,2.9,2.5,28.8,28,42,0.667,23,53,0.434,31,93,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama A&M,2015,14248
Limited Role,33,Baryn Houston,6-7,190,Jr,27,1,24.8,84.7,14,19.4,33.8,35.4,5.3,4,4,7.9,0.4,0.9,4.3,2.3,19.7,7,14,0.5,12,35,0.343,8,36,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,18574
Nearly Invisible,34,Michael Hutchins,6-8,205,Jr,28,21,37.4,93.3,11.4,12.1,38.8,43.8,5.1,8.7,8.7,19.5,1.2,0.4,6.8,2.1,29.9,15,20,0.75,14,30,0.467,8,37,0.216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,27396
Benchwarmer,24,Arthur Wade,6-4,190,Jr,10,NA,6.1,107.4,10.3,12.2,54.5,50.4,5,6.6,6.6,8.8,0,4.5,3.5,2.3,36.4,1,4,0.25,3,6,0.5,2,5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,27394
Benchwarmer,20,Zachary Jackson,6-4,205,Fr,4,NA,2.8,100.1,19.7,24.6,50,54.8,0,8.4,8.4,20.3,3.4,0,3.9,2.8,20,2,2,0.999,2,4,0.5,2,6,0.333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama A&M,2015,25003
Major Contributor,12,Jamel Waters,5-9,160,Jr,27,26,81.4,109,24.5,24.9,48.6,52.5,2.7,32.9,32.9,17.6,0.5,3.3,2.9,4,30.5,75,99,0.758,107,218,0.491,34,107,0.318,277,NA,384,455,NA,NA,NA,NA,48,NA,NA,126,NA,NA,NA,435,NA,NA,National Rank,Alabama St.,2015,14267
Significant Contributor,0,Wendell Lewis,6-10,260,Sr,27,26,55.3,100.5,23.9,24.3,51.6,54.3,8.8,9.1,9.1,20.9,4.2,1.2,4.5,4.1,32.1,47,69,0.681,111,215,0.516,0,0,0,NA,NA,455,NA,NA,NA,409,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama St.,2015,10852
Significant Contributor,2,Luther Page,6-6,190,Sr,27,2,51.8,95,20.3,14,50.9,53.4,11.9,6.6,6.6,24.9,2.3,1.9,4.5,5.7,94,61,109,0.56,59,116,0.509,0,0,0,NA,NA,NA,NA,NA,NA,119,398,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,National Rank,Alabama St.,2015,11606
Role Player,3,DeMarcus Robinson,5-10,165,Sr,27,26,75.4,113.1,16.3,19.2,52.6,54.9,2.8,12,12.9,14.3,0.2,2.3,2.1,2.5,20.3,35,47,0.745,56,125,0.448,44,107,0.411,NA,292,NA,NA,399,NA,NA,NA,NA,4,NA,NA,223,NA,NA,NA,NA,168,National Rank,Alabama St.,2015,18662
Role Player,22,Maurice Strong,6-5,210,Sr,27,26,68.5,91.9,19.9,20,42,44.4,8.9,7.5,7.5,17.2,3.1,1.1,3.3,4,39.7,47,87,0.54,92,218,0.422,0,1,0,NA,NA,NA,NA,NA,NA,402,88,NA,NA,421,NA,NA,NA,NA,NA,NA,NA,National Rank,Alabama St.,2015,18669
Role Player,5,Bobby Brown,6-6,185,Jr,26,22,55.1,97.1,19.8,22,44.6,47.6,6.3,9.6,9.6,18.6,2.9,0.7,2.3,3,23.2,32,45,0.711,40,110,0.364,31,84,0.369,NA,NA,NA,NA,NA,NA,NA,393,NA,NA,466,NA,337,NA,NA,NA,NA,NA,National Rank,Alabama St.,2015,14255
Role Player,52,Steve Rogers,6-1,160,Fr,27,1,35.9,105.7,17.8,17.2,54.5,58.2,3.6,12,12.9,24.3,0.3,0.9,4.4,3.1,32.3,25,32,0.781,15,43,0.349,26,56,0.464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,Alabama St.,2015,25037
Limited Role,4,Brandon Graham,6-7,195,Sr,27,3,43.6,97.3,15.6,14.7,45.1,49.7,5.7,7.3,7.3,20.3,4.9,1.6,5.8,3.5,46.6,32,48,0.667,33,61,0.541,9,42,0.214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,355,NA,National Rank,Alabama St.,2015,18663
Benchwarmer,1,Chidozie Omile,6-5,210,Jr,15,3,9.5,73.5,18.4,21.7,36.4,36.8,1.1,10,10.7,24.4,0,1.1,1.2,1.8,6.1,1,2,0.5,6,12,0.5,4,21,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2015,25012
Benchwarmer,14,Tony Armstrong,6-6,185,So,11,NA,6.4,89.1,19.2,18.6,52.6,50.4,4.7,5.8,5.8,21.8,1.5,0.8,3.5,3.9,42.1,3,8,0.375,10,19,0.526,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2015,18665
Benchwarmer,21,Jamar Pope,6-4,175,Jr,9,NA,4.8,115.4,12.3,13,60,63,2.1,3.5,3.5,18.1,0,4.5,3.1,2.8,40,3,4,0.75,3,5,0.6,2,5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alabama St.,2015,25033
