Role,Number,Player,Ht,Wt,Yr,G,S,Min.Pct,ORtg,Poss.Pct,Shots.Pct,eFG.Pct,TS.Pct,OR.Pct,DR.Pct,ARate,TORate,Blk.Pct,Stl.Pct,FCper40,FDper40,FTRate,FTM,FTA,FT.Pct,FGM_2,FGA_2,FG_2.Pct,FGM_3,FGA_3,FG_3.Pct,Min.Pct.Rk,ORtg.Rk,Poss.Pct.Rk,Shots.Pct.Rk,eFG.Pct.Rk,TS.Pct.Rk,OR.Pct.Rk,DR.Pct.Rk,ARate.Rk,TORate.Rk,Blk.Pct.Rk,Stl.Pct.Rk,FCper40.Rk,FDper40.Rk,FTRate.Rk,FT.Pct.Rk,FG_2.Pct.Rk,FG_3.Pct.Rk,NationalRank,Team,Year,PlayerId
Major Contributor,3,Thaddeus Handley,6-6,200,Sr,22,17,25.2,85.1,24.2,25.8,50,51.2,6.2,6.7,6.7,25.8,1,3.1,4.4,3,18.8,13,21,0.619,38,80,0.475,12,32,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,25048
Significant Contributor,22,JoVaughn Love,6-9,220,Sr,33,31,67.9,84.1,23,26.2,38.3,42.2,3.5,9.9,9.9,15.4,1.7,1.4,3,3.9,30.9,62,95,0.653,80,212,0.377,25,95,0.263,NA,NA,NA,284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,National Rank,Arkansas Pine Bluff,2016,25051
Significant Contributor,1,Charles Jackson,6-5,175,Fr,33,5,44.2,91.5,22.1,22.1,52.7,54.7,3.9,14,14.1,26.5,1,2.3,5.8,3.1,25.6,29,43,0.674,36,64,0.562,35,104,0.337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,482,NA,NA,NA,NA,NA,NA,National Rank,Arkansas Pine Bluff,2016,30093
Significant Contributor,12,Marquis Cunningham,6-8,200,Jr,33,16,38.3,95.2,23.9,23.7,47.4,51.3,7.4,10.3,10.3,18.2,7.8,1.8,7.5,4.9,48.7,49,76,0.645,74,154,0.481,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,30095
Significant Contributor,34,Devin Berry,6-7,220,Jr,28,11,27.6,80.7,22.2,16.6,43,45.6,13.8,8.6,8.6,28,3.5,1.5,8.1,4.7,67.1,27,53,0.509,34,79,0.43,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,27441
Role Player,15,Trent Whiting,6-7,205,Sr,33,7,52.5,94.9,17,16.1,49,51.2,5.2,17.7,17.7,23.3,2.7,2,3,2.8,31.5,29,46,0.63,55,109,0.505,11,37,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,469,NA,NA,NA,NA,NA,NA,NA,National Rank,Arkansas Pine Bluff,2016,14341
Role Player,30,Deshon Bayless,6-8,220,Jr,15,5,20.6,85.7,18.1,19.7,41.4,44.2,3.8,7.9,7.9,17.3,0,2.7,7,3.3,34.3,14,24,0.583,17,47,0.362,8,23,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,30097
Role Player,10,Jaquan Lynch,6-3,180,Jr,17,NA,20.3,97.8,17.2,19.4,47.8,50.9,3,15,15.9,19.9,0,2.5,1.3,2.1,14.7,9,10,0.9,7,23,0.304,17,45,0.378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,30094
Limited Role,14,Marcus Wallace,6-3,180,Fr,31,23,50.1,82.7,15.3,14.9,46.1,49,2.9,8.3,8.3,28.4,0,2.2,2.1,2.2,24,22,31,0.71,25,55,0.455,23,74,0.311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,National Rank,Arkansas Pine Bluff,2016,30096
Limited Role,13,Austin Cox,6-4,175,So,28,1,20.8,91.6,13.7,12.9,56.5,56.6,5,7.6,7.6,29.2,0.8,3.3,3.2,2,23.9,6,11,0.545,14,26,0.538,8,20,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,25049
Nearly Invisible,25,Chauncy Parker,6-8,225,Sr,32,14,20.9,72.9,10.8,5.3,63.2,56.7,4.5,12.4,12.4,47.3,10,1.8,9.7,2,63.2,4,12,0.333,12,19,0.632,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,27440
Nearly Invisible,40,J'Breun Sprinkle,6-2,175,Fr,18,NA,14.4,67.2,10.1,5.6,60.7,56.6,3,10,10.1,51,0,3.2,2.3,1.4,28.6,1,4,0.25,7,12,0.583,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,30098
Nearly Invisible,52,David Tillman,6-10,215,Jr,24,3,10.9,54.2,10.4,7.5,42.9,34.6,2.4,6,6,36.9,9.7,0.4,7.8,2.1,50,0,7,0,6,14,0.429,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,25113
Benchwarmer,21,Larry Johnson,6-2,175,Sr,25,1,7.5,36.4,14.3,8.6,27.3,24.1,4.6,6.3,6.3,51.9,0,1.2,6.9,1.8,27.3,0,3,0,3,8,0.375,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas Pine Bluff,2016,25050
Major Contributor,50,Anthony Livingston,6-8,230,Jr,29,29,78.2,104.3,24.7,27.6,46.3,52.7,8.6,3.6,3.6,12.8,2.5,1,3.5,5,36.1,116,135,0.859,140,291,0.481,22,83,0.265,361,NA,369,183,NA,NA,397,17,NA,321,NA,NA,NA,397,NA,53,NA,NA,National Rank,Arkansas St.,2016,25104
Major Contributor,33,Nouhoum Bocoum,6-10,260,Sr,27,5,34.1,100.9,24.3,24,47.2,52.1,11.5,6.3,6.3,15.8,5,0.3,3.5,5.6,48.6,48,69,0.696,67,140,0.479,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Arkansas St.,2016,25106
Significant Contributor,3,Devin Carter,6-5,205,Jr,29,28,89.7,111.7,21.1,24.6,56.8,58.6,2.9,12,12.4,13.6,0.9,1.1,3.1,3.8,27.1,72,104,0.692,90,181,0.497,85,202,0.421,44,488,NA,477,169,241,NA,NA,NA,428,NA,NA,NA,NA,NA,NA,NA,109,National Rank,Arkansas St.,2016,19704
Significant Contributor,24,Donte Thomas,6-3,210,Jr,24,23,65.6,97.5,22.3,16,45.3,51.8,2.9,35.1,35.1,23.6,0.9,1.9,3.6,6,81.9,97,149,0.651,75,158,0.475,5,24,0.208,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,136,8,NA,NA,NA,National Rank,Arkansas St.,2016,30102
